pto_no,pto_name,declared_routes,parsed_routes_count
NTSA/RSN-01730,KADANA TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,6,6
NTSA/RSN-0193,KAKA TRAVELLERS SACCO LIMITED,6,4
NTSA/RSN-0197,KAM TRANSPORTERS SACCO LTD,15,15
NTSA/RSN-0203,KANDARA SOUTH TRAVELLERS SACCO (K.S.T),5,5
NTSA/RSN-0208,KANGEMI MATATU OWNERS SACCO,7,7
NTSA/RSN-0209,KANI TRANSPORT SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,9,9
NTSA/RSN-0215,KARIOBANGI MATATU OWNERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,14,14
NTSA/RSN-0217,KARURI COMMUTERS SERVICES SAVINGS AND CREDIT CO-OPERTAIVE SOCIETY LIMITED,13,13
NTSA/RSN-0223,KAWANGWARE MATATU SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,2,2
NTSA/RSN-0224,kayo-line group company limited,6,6
NTSA/RSN-0228,KENYA BUS SERVICE MANAGEMENT LIMITED,24,23
NTSA/RSN-0231,KIAMBU MARAFIKI SACCO LTD,6,6
NTSA/RSN-2613,KIAMBU UNITED TRAVELLERS SACCO LIMITED,1,1
NTSA/RSN-0233,KIBERA BURETI SACCO,10,10
NTSA/RSN-0234,KIBERA MATATU OWNERS COOPERATIVE SAVINGS AND CREDIT SOCIETY LIMITED,8,8
NTSA/RSN-0236,KIDAGI SACCO,4,4
NTSA/RSN-0244,KILLETON COMMUTERS SERVICES SAVINGS AND CREDIT COOPERATIVE LTD,8,8
NTSA/RSN-0247,KIMMA SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,18,18
NTSA/RSN-0255,KIRAGI TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,6,6
NTSA/RSN-0269,KIWALIRU SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,10,10
NTSA/RSN-0271,KIZALI TRAVELLERS LIMITED,12,12
NTSA/RSN-0277,KSMT SACCO LTD,5,5
NTSA/RSN-0285,LANKANA SACCO SOCIETY LIMITED,4,4
NTSA/RSN-0286,LATEMA 22 TRAVELLERS SACCO,11,11
NTSA/RSN-01898,LIBERA IMPEX LIMITED,19,17
NTSA/RSN-0288,LIKAMBU MATATU SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,5,5
NTSA/RSN-0293,LIRA LINE SACCO SOCIETY LTD,7,7
NTSA/RSN-0294,LOPHA MULTIPURPOSE CO-OPERATIVE SOCIETY,16,16
NTSA/RSN-01900,LOTHIAN TRANSPORTERS,6,6
NTSA/RSN-0296,LUCKY BABA DOGO TRAVELLERS LIMITED,7,7
NTSA/RSN-0297,LUCKY TRANSPORTERS COMPANY,13,13
NTSA/RSN-0298,LUMINOUS SHUTTLES LIMITED,10,10
NTSA/RSN-0302,MADIWA MATATU OWNERS SACCO,8,7
NTSA/RSN-02001,MAMBIGI SERVICES LIMITED,3,3
NTSA/RSN-02005,MANAMA TRAVELLERS LIMITED,2,2
NTSA/RSN-0319,MANCHESTER TRAVELLERS COACH LIMITED,12,12
NTSA/RSN-0321,MANMO SACCO,5,5
NTSA/RSN-01743,MARUTI T.R.R SACCO,4,4
NTSA/RSN-0327,mat two friends limited,8,8
NTSA/RSN-02009,MATATU CREW ASSOCIATION SACCO,4,4
NTSA/RSN-0705,MAVEROUS SHUTTLE LIMITED,6,6
NTSA/RSN-02000,MERUIT LOGISTICS LIMITED,6,6
NTSA/RSN-0345,METROTRANS EAST AFRICA LIMITED,23,23
NTSA/RSN-0353,MNK SACCO SOCIETY LTD,9,9
NTSA/RSN-0372,moonlight coach co. limited,1,1
NTSA/RSN-02026,MSAFI TRAVELLERS LIMITED,3,2
NTSA/RSN-0393,MWAMBA TRAVELLERS SACCO,5,5
NTSA/RSN-4282,MWANZO MPYA SHUTTLES LIMITED,1,1
