pto_no,pto_name,permit_id,is_intercity,route_text
NTSA/RSN-0657,8B SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,ADR-Q5LCL8B,False,"jericho, gikomba,eastleigh, kariokor"
NTSA/RSN/8384,AKILLA  TRANSPORTERS  LIMITED,ADR-ZZJSJEL,True,"bus station, mombasa road,south b, south c"
NTSA/RSN-01901,ALDANA SUPREME SERVICES LIMITED,NTR-00202008111559300,False,"Saika, Dandora Outering road Thika road, Thika"
NTSA/RSN-01901,ALDANA SUPREME SERVICES LIMITED,NTR-00202108060811330,False,"Malaa, ruai dandora outering rd cabanas juja rd kariokor ngara thika rd mwihoko eastern bypass ruiru gatundu juja thika, Muranga"
NTSA/RSN-01901,ALDANA SUPREME SERVICES LIMITED,ADR-A5ACPY5,False,"Ruai, Dandora, Outering rd, Cabanas, Juja rd, Kariokor Ngara, Ronald Ngala, Thika rd, Thika"
NTSA/RSN-01901,ALDANA SUPREME SERVICES LIMITED,,True,"Nairobi - Thika,Muranga,Sagana,Nyeri - Naivasha via Nyahururu and back"
NTSA/RSN-0023,ALDANA TRAVELLERS SACCO,NTR-00202003241145200,False,"Ronald ngala, Juja rdDandoraKariobangiAlsops Thika rd, Thika"
NTSA/RSN-0023,ALDANA TRAVELLERS SACCO,NTR-00418,True,"Ronald Ngala, Ngara Juja Rd Outering Rd Kangundo Rd Dandora Kariobangi Asops Thika Rd Thika, Nyeri"
NTSA/RSN-0023,ALDANA TRAVELLERS SACCO,NTR-00337,False,"ronald ngara, juja road, dandora"
NTSA/RSN-0023,ALDANA TRAVELLERS SACCO,NTR-00360,False,"dandora, kariobangi, alsolps"
NTSA/RSN-0023,ALDANA TRAVELLERS SACCO,NTR-00201909131231540,False,"dandora, kariobangi,alsops,thika rd, thika"
NTSA/RSN-0023,ALDANA TRAVELLERS SACCO,ADR-2DVSRKQ,False,"dandora, juja road, ronald ngala"
NTSA/RSN-0023,ALDANA TRAVELLERS SACCO,ADR-K9BF6RK,False,"ronald ngara, dandora, juja road"
NTSA/RSN-0023,ALDANA TRAVELLERS SACCO,ADR-7WRS9DE,False,"dandora, alsolps, kariobangi"
NTSA/RSN-0023,ALDANA TRAVELLERS SACCO,ADR-BQ9SQJ9,False,"dandora, juja road,kariokor, gikomba"
NTSA/RSN-7779,ARBAB VENTURES LIMITED,NTR-00201905131607200,True,"South c, iindustrial arealikoni rdjogoo rdeastleighoutering rd mombasa rd, machakos"
NTSA/RSN-7779,ARBAB VENTURES LIMITED,ADR-JY7SLOJ,True,"South c, South bLikoni rdindustrial areaeastleighjogoo rdoutering rddonholmfedha, machakos"
