pto_no,sacco_clean,route_hints,pto_name_raw,declared_routes,parsed_routes_count
NTSA/RSN-02023,Gucha Express,,GUCHA EXPRESS LIMITED,2,2
NTSA/RSN-02052,Hannover Swift Trans,,HANNOVER SWIFT TRANS LIMITED,4,4
NTSA/RSN-0165,Highrise Kibera,,HIGHRISE KIBERA SACCO,3,3
NTSA/RSN-0166,Highway,,HIGHWAY TRAVELLERS LIMITED,2,2
NTSA/RSN-0169,Home,,HOME SACCO LIMITED,8,8
NTSA/RSN-0172,Huruma Mini-bus,,HURUMA MINI-BUS SACCO LTD,4,4
NTSA/RSN-0174,Inagi,,Inagi Travellers Sacco,4,4
NTSA/RSN-0176,Indima (nje),,INDIMA (NJE) SACCO,17,17
NTSA/RSN-01742,Indo Star,,INDO STAR SACCO,4,4
NTSA/RSN-5041,Integrity Intercity,,INTEGRITY INTERCITY LIMITED,3,3
NTSA/RSN-0177,Inter Counties,,INTER COUNTIES TRAVELLERS SACCO,3,3
NTSA/RSN-0715,Inter-county,,INTER-COUNTY TRAVELLERS SACCO,2,2
NTSA/RSN-0181,Iska Investments Company,,ISKA INVESTMENTS COMPANY LTD.,5,5
NTSA/RSN-0183,Ithanga,,ITHANGA TRAVELLERS SACCO,2,2
NTSA/RSN-0184,Jesmat Co-oprative,,JESMAT TRAVELLERS CO-OPRATIVE,5,5
NTSA/RSN-0185,Jonsaga Flats,,JONSAGA FLATS SACCO,9,9
NTSA/RSN-2074,Juja Athi,,JUJA ATHI TRAVELLERS SACCO.,3,3
NTSA/RSN/6973,Jupiterline Investments Capital,,JUPITERLINE INVESTMENTS CAPITAL LIMITED,3,3
NTSA/RSN-01730,Kadana,,KADANA TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,6,6
NTSA/RSN-0193,Kaka,,KAKA TRAVELLERS SACCO LIMITED,6,4
NTSA/RSN-0197,KAM Transporters,,KAM TRANSPORTERS SACCO LTD,15,15
NTSA/RSN-0203,Kandara South (k.s.t),,KANDARA SOUTH TRAVELLERS SACCO (K.S.T),5,5
NTSA/RSN-0208,Kangemi,,KANGEMI MATATU OWNERS SACCO,7,7
