route,corridor,from_terminus,to_terminus,stages,already_done,known_terminals,known_saccos,researched_terminal,researched_saccos,research_confidence,YOUR_TERMINAL,YOUR_SACCOS
11A,,Odeon Terminus,Kwa Mosque/Highridge Mwisho,16,,,,Fig Tree | Odeon,Lopha,medium,,
11B,,Koja,Mayfair,4,,,,,,,,
11C,,Odeon,Pangani Terminal,12,,,,Fig Tree | Odeon,Lopha,medium,,
11F,,Odeon,Ruaka Stage,21,,,,Commercial | Fig Tree | Odeon,"Lopha, Killeton Commuters Services Savings AND Credit Cooperative, Manmo, Runka Services",high,,
129,,Kikuyu Terminus,Wangige Stage,16,,,,,,,,
135,,Kaka Terminal,Limuru Town Terminal,44,,,,Bus Station | Odeon | Railways,"Latema Sacco, Digital Luxury, Kangemi, Cosy Travel",high,,
17A,,Rounda,Calvary,27,,,,Bus Station | Commercial | Kencom | Knh | Odeon | Otc,Risen Company,high,,
17A,,Eastleigh Terminal,Kayole 1,41,,,,Bus Station | Commercial | Kencom | Knh | Odeon | Otc,Risen Company,high,,
18C,,Kanisani,Eastleigh Terminal,41,,,,Bus Station | Commercial | Fig Tree | Gikomba | Kencom | Knh | Muthurwa | Odeon | Otc,"Risen Company, Southleigh S, Dix-hult, Ecosa",high,,
23W,,Nation Building Terminal,Westlands Terminal,6,,,,,,,,
26S,,Aquinas,Kariobangi,24,,,,Gikomba | Otc,"Drepeja Route, ROG",medium,,
32D,,Terminal Otc,Dandora Terminal,32,,,,,,,,
33H,,Carbanas,By Pass,17,,,,Fig Tree | Gikomba | Muthurwa,"MNK Society, Dix-hult, Southleigh S, Southleigh",high,,
33J,,Carbanas,Githunguri,18,,,,,,,,
405,,City Stadium/Lusaka Road Junctn,Baricho Road Terminus,6,,,,Bus Station | Knh,"Indima (nje), Ngumo-line, Stahito Commuter Services CO",high,,
44K,,Roysambu Terminus,Main Stage,17,,,,Bus Station | Commercial | Odeon | Otc,"Rukagina 44, Chelsea, Tikagi, Fourty Four Owners Company",high,,
45P,,Githurai,Proggie,4,,,,Fig Tree | Otc | Railways,"Githurai 45, Super Highway 45 Society, Tikagi, Gikakuru",high,,
46B,,Terminal Tusker,Tounder Terminal,17,,,,Bus Station | Commercial | Fig Tree | Gikomba | Kencom | Knh | Muthurwa | Odeon | Otc,"Jonsaga Flats, Neema Agency, Aldana, Ecosa",high,,
