route_number,description,corridor,status,permit_hits,saccos_mapped,terminals_identified
103,Dagoretti Market-Uthiru-Kinoo-Wangige,,MAPPED,7,2KW; Wakimali CO; Salty Bizada Investment; Super Metro,Kencom; Knh; Odeon; Otc
105,Odeon-Westlands-Kangemi-Kinoo-Regen-Kikuyu,,MAPPED,33,2KR; Kangemi; Killeton Commuters Services Savings AND Credit Cooperative; Latema Sacco; Cosy Travel; Lopha; Starbus Company (k); Digital Luxury; Nakili; Dakika,Bus Station; Fig Tree; Knh; Odeon; Railways
106,Odeon-UN-Ruaka-Banana,,MAPPED,11,Lopha; Risen Company; KBS; Killeton Commuters Services Savings AND Credit Cooperative; Manmo; Runka Services; St. Marys Transport Society,Bus Station; Commercial; Fig Tree; Kencom; Knh; Odeon; Otc
107,Odeon-UN-Ruaka-Ndenderu,,MAPPED,17,Lopha; Runka Services; Killeton Commuters Services Savings AND Credit Cooperative; Manmo; Meruit Logistics,Commercial; Fig Tree; Odeon
108,UN-New Muthaiga-Gachie-Gichagi,,UNMAPPED,0,,
110,Railways-Mombasa Road-Mlolongo-Kitengela,mombasa_road,MAPPED,22,Nangkis Matatu; Risen Company; Embassava; MNK Society; Rembo Shuttle Savings AND Credit; Gucha Express; Indima (nje); Kiragi; Latema Sacco; Matatu Crew Association; Ngong; Ongata Rongai BUS Services; RAJ Safaris; Snowball Society; Stahito Commuter Services CO,Bus Station; Commercial; Fig Tree; Gikomba; Kencom; Knh; Muthurwa; Odeon; Otc; Railways
111,Railways-Ngong Road-Karen-Ngong,ngong_road,MAPPED,81,Nangkis Matatu; Risen Company; Luminous Shuttles; Ngong; City Star Shuttle; Kadana; KBS; Unified International; Kibera Bureti; Matatu Crew Association; Ngokana; Kibera; Kiragi; Lothian Transporters; Metrotrans East Africa; RAJ Safaris; Rasasi; Wanjo Patrames Travel Company; Eastern Kubamba; Expreso; Express Connections; Fastrack United AND Credit; Garamu Travel Solutions; Lankana Society; Lira Line Society; Pakin Alicia Society; Salty Bizada Investment; Salty Investments; Serian; Snowball Society; Sowetamu; St. Marys Transport Society; Stahito Commuter Services CO; Super Metro; Umoja Innercore Tena,Bus Station; Commercial; Fig Tree; Gikomba; Kencom; Knh; Muthurwa; Odeon; Otc; Railways
115,Koja-Westlands-Kangemi-Limuru,,MAPPED,14,Latema Sacco; Bybuss Trans; Digital Luxury; Kangemi; Cosy Travel; Integrity Intercity; Lopha; Starbus Company (k),Bus Station; Fig Tree; Koja; Odeon; Railways
116,Koja-Ngara-Banana-Limuru,,MAPPED,13,Lopha; Bybuss Trans; Karuri Commuters Services Savings AND Credit Co-opertaive Society; MNK Society; Bakaki 101; KBS; Manmo; St. Marys Transport Society,Bus Station; Commercial; Fig Tree; Koja; Odeon; Railways
118,Koja-Westlands-Kabete-Wangige,,MAPPED,15,Bybuss Trans; Home; Transworld Transport; Walokana; Karuri Commuters Services Savings AND Credit Co-opertaive Society; Risen Company,Bus Station; Commercial; Fig Tree; Kencom; Knh; Koja; Odeon; Otc; Railways
119,Koja-Westgate-Wangige,,MAPPED,18,Bybuss Trans; Home; Lopha; Transworld Transport; Walokana; Karuri Commuters Services Savings AND Credit Co-opertaive Society; Risen Company,Bus Station; Commercial; Fig Tree; Kencom; Knh; Koja; Odeon; Otc; Railways
120,Kaka-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu-Githunguri,kiambu_road,MAPPED,5,Tikagi; Likambu Matatu; Lopha; Nakinduka Matatu,
121, Kaka-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu-Ndumberi,kiambu_road,MAPPED,3,Likambu Matatu; Lopha; Nakinduka Matatu,
125,Railways-Langata Road-Bomas-Ongata Rongai,langata_road,MAPPED,87,Orokise; Oromats Society; Serian; Snowball Society; Rongao Saving AND Credit; Eleventh Hour Transport; Ongata Rongai BUS Services; Eastern Kubamba; Emaar City BUS; Lankana Society; Matatu Crew Association; Ngong; Ongata Line; Risen Company; Salty Investments; Expreso; Luminous Shuttles; Super Metro; Wanjo Patrames Travel Company; City Star Shuttle; KBS; Kiragi; Lothian Transporters; Nangkis Matatu; Nkikan Society; Rasasi; St. Marys Transport Society; Stahito Commuter Services CO,Bus Station; Commercial; Gikomba; Kencom; Knh; Muthurwa; Odeon; Otc; Railways
126,Railways-Langata Road-Ongata Rongai-Kiserian,langata_road,MAPPED,110,Orokise; Oromats Society; Rongao Saving AND Credit; Serian; Snowball Society; Eleventh Hour Transport; Nangkis Matatu; City Star Shuttle; Lankana Society; Ongata Rongai BUS Services; Eastern Kubamba; Emaar City BUS; Expreso; KBS; Matatu Crew Association; Ngong; Nkikan Society; Ongata Line; Rasasi; Risen Company; Salty Investments; Super Metro; Luminous Shuttles; Wanjo Patrames Travel Company; Karuri Commuters Services Savings AND Credit Co-opertaive Society; Kiragi; Lothian Transporters; Metrotrans East Africa; RAJ Safaris; St. Marys Transport Society; Stahito Commuter Services CO,Bus Station; Commercial; Gikomba; Kencom; Knh; Koja; Muthurwa; Odeon; Otc; Railways
129,Kikuyu-Magu-Kingeero-Wangige,,UNMAPPED,0,,
135,Kaka-Westlands-Kangemi-Limuru,,MAPPED,11,Latema Sacco; Digital Luxury; Kangemi; Cosy Travel; Lopha; Starbus Company (k),Bus Station; Odeon; Railways
145,Munyu Road-Pangani-Roysabu-Githurai-KU-Ruiru,thika_road,MAPPED,7,Nagiru 145; Nazigi; MNK Society,Fig Tree; Odeon
237,Munyu Road-Pangani-Roysabu-Githurai-KU-Ruiru-Juja-Thika,thika_road,MAPPED,107,Nazigi; Lopha; Jonsaga Flats; Risen Company; Githurai 45; Libera Impex; Rukagina 44; Unified International; Chelsea; Fourty Four Owners Company; Nakathi; Neema Agency; Sunbird Services; Super Tram; Aldana Supreme; Aldana; Eastern Bypass; Embassava; Forward Travellers; MNK Society; Nakaski Transort Savings Credit; Nicco Movers; Salty Bizada Investment; Super Highway 45 Society; Ummoinner Class; Virginia Coach Enterprise; ZAM ZAM Fourty Five; Benjo( K); Circular Classic Company; Dandora Usafiri; Eastern Kubamba; Ecosa; FIG Prestige Management Company; Five Friends Investment Company; Jesmat Co-oprative; Kariobangi; Killeton Commuters Services Savings AND Credit Cooperative; Lothian Transporters; Madiwa; Meruit Logistics; Mwiki PSV Society; Pejo Tech Company; QUE Services; Salty Supporters Investment; Tikagi; Wanjo Patrames Travel Company; Zuri Genesis,Bus Station; Commercial; Fig Tree; Gikomba; Kencom; Knh; Muthurwa; Odeon; Otc
405,City Stadium-Nyayo Stadium,,MAPPED,6,Indima (nje); Ngumo-line; Stahito Commuter Services CO,Bus Station; Knh
1960,OTC-Donholm-Kayole,kangundo_road,MAPPED,33,Risen Company; Geobeat Maoka; Libera Impex; Salty Bizada Investment; MNK Society; Umoinner; Eastlands Eagles; Five Friends Investment Company; Forward Travellers; Kani Transport; Metrotrans East Africa; Prime Transcity; ROG; Southleigh S; Southleigh; Ummoinner Class; Umoja Innercore Tena,Bus Station; Commercial; Fig Tree; Gikomba; Kencom; Knh; Muthurwa; Odeon; Otc; Railways
2030,Allsops-Rounda,,UNMAPPED,0,,
3738,Rounda-Saika-Ruai,kangundo_road,UNMAPPED,0,,
