route_number,description,corridor,status,permit_hits,saccos_mapped,terminals_identified
19C,Ambassadeur-Jogoo Road-Donholm-Caltex-Komarocks,kangundo_road,MAPPED,60,Risen Company; City Star Shuttle; Geobeat Maoka; Umoinner; MNK Society; Salty Bizada Investment; Umoja Innercore Tena; Eastlands Eagles; Hannover Swift Trans; ROG; Ummoinner Class; Metrotrans East Africa,Bus Station; Commercial; Fig Tree; Gikomba; Kencom; Knh; Muthurwa; Odeon; Otc; Railways
19C,Ambassadeur-Donholm-Jacaranda-Komarocks,kangundo_road,MAPPED,60,Risen Company; City Star Shuttle; Geobeat Maoka; Umoinner; MNK Society; Salty Bizada Investment; Umoja Innercore Tena; Eastlands Eagles; Hannover Swift Trans; ROG; Ummoinner Class; Metrotrans East Africa,Bus Station; Commercial; Fig Tree; Gikomba; Kencom; Knh; Muthurwa; Odeon; Otc; Railways
23KG,Odeon-Chiromo-Westlands-Kangemi,,MAPPED,20,Kangemi; Killeton Commuters Services Savings AND Credit Cooperative; Latema Sacco; Cosy Travel; Starbus Company (k); Digital Luxury; Lopha,Fig Tree; Knh; Odeon; Railways
23KS,Gill House-Jogoo Road-Shauri Moyo-Jerusalem-Buruburu-Kariobangi South,,MAPPED,24,Risen Company; City Star Shuttle; Drepeja Route; MNK Society; Salty Bizada Investment; Southleigh S; 8B; Eastlands Eagles; KBS; ROG; Southleigh; Umoja Innercore Tena,Bus Station; Commercial; Fig Tree; Gikomba; Kencom; Knh; Muthurwa; Odeon; Otc; Railways
23W,Nation Building-Museum Hill-Graffins College-Westlands,,UNMAPPED,0,,
24BK,Bomas-Karen Hospital-Karen,,MAPPED,1,Wanjo Patrames Travel Company,
24C,Kencom-Valley Road-Ngong Road-Karen-Hardy,ngong_road,MAPPED,60,KBS; Express Connections; City Star Shuttle; Unified International; Lankana Society; Metrotrans East Africa; Rasasi; Risen Company; Super Metro; Expreso; Lothian Transporters; Luminous Shuttles; Matatu Crew Association; Nangkis Matatu; Ngong; Wanjo Patrames Travel Company; Highrise Kibera; Kibera Bureti; Kibera; Ngokana; Ngumo-line; Snowball Society; St. Marys Transport Society; Wakimali CO,Bus Station; Commercial; Fig Tree; Gikomba; Kencom; Knh; Muthurwa; Odeon; Otc; Railways
25A,Odeon-Pangani-Alssops-Baba Dogo-Lucky Summer,thika_road,MAPPED,19,Baba Dogo 25; Lopha; Neema Agency; Kariobangi; Lucky Baba Dogo; Eastleigh Commuter; Nazigi,Commercial; Fig Tree; Gikomba; Odeon; Otc
26S,Aquinas-Jerusalem-Outering-Kariobangi,,MAPPED,3,Drepeja Route; ROG,Gikomba; Otc
29/30,Ngara-Pangani-Alssops-Drive in-Mathare,thika_road,MAPPED,8,FIG Komba; FIG Prestige Management Company; Jesmat Co-oprative; Manmo,Commercial; Fig Tree; Gikomba; Muthurwa
32A,Kencom-Community-KNH-Ngong Road-Ayani,ngong_road,MAPPED,8,Unified International; Metrotrans East Africa; Lothian Transporters; Risen Company,Bus Station; Commercial; Kencom; Knh; Odeon; Otc
32D,OTC-Kariokor-Mlango-Rounda-Dandora,,UNMAPPED,0,,
33DC,Donholm-Rounda-Carbanas,,UNMAPPED,0,,
33C,Commercial-Jogoo Road-Pipeline-Cabanas,kangundo_road,MAPPED,28,Geobeat Maoka; Libera Impex; Risen Company; ROG; FIG Prestige Management Company; Manmo; MNK Society; Eastlands Eagles; Kani Transport; Southleigh S; Umoinner; Umoja Innercore Tena,Bus Station; Commercial; Fig Tree; Gikomba; Kencom; Knh; Muthurwa; Odeon; Otc; Railways
33B,Commercial-Cabanas-Baraka,mombasa_road,MAPPED,3,Embassava; Manmo; Risen Company,Bus Station; Commercial; Fig Tree; Gikomba; Kencom; Knh; Odeon; Otc
33FED,Commercial-Cabanas-Tuskys-Village-Gate A-Posta,mombasa_road,MAPPED,33,Geobeat Maoka; Libera Impex; Risen Company; ROG; Arbab Ventures; Embassava; FIG Prestige Management Company; Manmo; MNK Society; Telaviv; Eastlands Eagles; Kani Transport; Royal Swift Express; Salty Bizada Investment; Southleigh S,Bus Station; Commercial; Fig Tree; Gikomba; Kencom; Knh; Muthurwa; Odeon; Otc; Railways
33GTB,Accra Road-Jogoo Road-Donholm-Fedha-Gate B,kangundo_road,MAPPED,15,Geobeat Maoka; Risen Company; MNK Society; Eastlands Eagles; Manmo; Umoinner; Umoja Innercore Tena,Bus Station; Commercial; Fig Tree; Kencom; Knh; Muthurwa; Odeon; Otc; Railways
33H,Cabanas-Utawala-Bypass,,MAPPED,5,MNK Society; Dix-hult; Southleigh S; Southleigh,Fig Tree; Gikomba; Muthurwa
33IMR,Commercial-Belleview-Imara Daima,mombasa_road,MAPPED,1,Risen Company,Bus Station; Commercial; Kencom; Knh; Odeon; Otc
33J,Cabanas-Utawala-Githunguri,,UNMAPPED,0,,
33MKR,Bus Station-Mombasa Road-Imara Daima-St.Bakhita,mombasa_road,MAPPED,4,Indima (nje); Risen Company,Bus Station; Commercial; Kencom; Knh; Muthurwa; Odeon; Otc
33NG,Racecourse Road-Ngong Road-KNH-Ngumo,,MAPPED,1,Risen Company,Bus Station; Commercial; Kencom; Knh; Odeon; Otc
33DP,Muthurwa-Donholm-Pipeline,kangundo_road,MAPPED,36,Geobeat Maoka; Outreach Travel; 61 BUS; Inter Counties; Eastern Bypass; Kani Transport; MNK Society; Prime Transcity; Benjo( K); Cbet; Eastlands Eagles; Forward Travellers; Kibera Bureti; Libera Impex; Ngumo-line; Pejo Tech Company; Risen Company; ROG; Stahito Commuter Services CO; Umoinner; Umoja Innercore Tena,Bus Station; Fig Tree; Gikomba; Kencom; Knh; Muthurwa; Odeon; Otc; Railways
33TP,Commercial-Mombasa Road-Taj Mall-Pipeline,mombasa_road,MAPPED,55,Libera Impex; Geobeat Maoka; Indima (nje); Risen Company; ROG; Salty Bizada Investment; Southleigh S; Telaviv; Arbab Ventures; FIG Prestige Management Company; Forward Travellers; Manmo; MNK Society; Royal Swift Express; Benjo( K); Circular Classic Company; Eastern Bypass; Eastlands Eagles; Embassava; Inter Counties; Kani Transport; KBS; Ngong; Pejo Tech Company; Southleigh; St. Marys Transport Society; Stahito Commuter Services CO,Bus Station; Commercial; Fig Tree; Gikomba; Kencom; Knh; Muthurwa; Odeon; Otc; Railways
33SB,Ngumo-Highrise-Nairobi West-Couth C-South B,,UNMAPPED,0,,
33UTW,Utawala-Ambassadeur,mombasa_road,MAPPED,3,Tawala Shuttle; Risen Company,Bus Station; Commercial; Kencom; Knh; Odeon; Otc
34B,Ambassadeur-Donholm-Jacaranda,kangundo_road,MAPPED,23,Risen Company; City Star Shuttle; Geobeat Maoka; MNK Society; Eastlands Eagles; Hannover Swift Trans; ROG; Umoinner; Umoja Innercore Tena,Bus Station; Commercial; Fig Tree; Gikomba; Kencom; Knh; Muthurwa; Odeon; Otc; Railways
34J,Ambassadeur-Donholm-Rounda-JKIA,kangundo_road,MAPPED,25,Risen Company; City Star Shuttle; Geobeat Maoka; MNK Society; Eastlands Eagles; Hannover Swift Trans; Libera Impex; ROG; Umoinner; Umoja Innercore Tena,Bus Station; Commercial; Fig Tree; Gikomba; Kencom; Knh; Muthurwa; Odeon; Otc; Railways
34L,Kenyatta National Hospital-Mbagathi Road-Wilson Airport-Langata,langata_road,MAPPED,11,St. Marys Transport Society; Lucky Transporters Company; Rasasi; Lothian Transporters; Risen Company,Bus Station; Commercial; Kencom; Knh; Odeon; Otc
35/60,Town-Donholm-Umoja,kangundo_road,MAPPED,47,Umoinner; Risen Company; Geobeat Maoka; Salty Bizada Investment; Ummoinner Class; City Tram Shuttle; MNK Society; Umoja Innercore Tena; Dandora Usafiri; Eastlands Eagles; Five Friends Investment Company; Forward Travellers; Iska Investments Company; Jonsaga Flats; Metrotrans East Africa; Nicco Movers; ROG; Rukagina 44; Salty Supporters Investment; ZAM ZAM Fourty Five,Bus Station; Commercial; Fig Tree; Gikomba; Kencom; Knh; Muthurwa; Odeon; Otc; Railways
3560_2,Donholm-Mutindwa-Umoja 2,kangundo_road,UNMAPPED,0,,
38/39,Town-Donholm-Njiru-Ruai,kangundo_road,MAPPED,133,City Star Shuttle; Eastern Bypass; City Tram Shuttle; Risen Company; Geobeat Maoka; KBS; County Link; Forward Travellers; Indima (nje); Libera Impex; 61 BUS; Kani Transport; Neema Agency; Outreach Travel; Pinpoint Solution (k); Southleigh S; Stahito Commuter Services CO; Utawala By-pass; Benjo( K); Dix-hult; Drepeja Route; Eastern Kubamba; Matatu Crew Association; Maverous Shuttle; MNK Society; Mwiki PSV Society; Prime Transcity; Rembo Shuttle Savings AND Credit; Salty Bizada Investment; Ummoinner Class; Umoinner; Eastern Bypass Traverlers Investment CO; Eastlands Eagles; FIG Prestige Management Company; Hannover Swift Trans; Indo Star; Inter Counties; Kangemi; Kayo-line Group Company; Metrotrans East Africa; Ngong; Ngumo-line; Obamana; Pejo Tech Company; ROG; South B Society; Southleigh; Sowetamu; St. Marys Transport Society; Umoja Innercore Tena,Bus Station; Commercial; Fig Tree; Gikomba; Kencom; Knh; Muthurwa; Odeon; Otc; Railways
3N,Gikomba-Kariokor-Ngara,,MAPPED,3,Huruma Mini-bus; Jesmat Co-oprative; Jonsaga Flats,Fig Tree; Gikomba; Otc
3U,Dagoretti Corner-Naivasha Road-Uthiru,,MAPPED,1,Salty Bizada Investment,Kencom; Otc
44G,Odeon-Pangani-Roysambu-Githurai-Ku,thika_road,MAPPED,34,Nazigi; Lopha; Nakathi; Rukagina 44; Chelsea; Risen Company; Tikagi; Fourty Four Owners Company; Killeton Commuters Services Savings AND Credit Cooperative; Runka Services; Sunbird Services; Super Tram; ZAM ZAM Fourty Five,Bus Station; Commercial; Fig Tree; Kencom; Knh; Odeon; Otc
44K,Roysambu-Githurai-Ku,,MAPPED,12,Rukagina 44; Chelsea; Tikagi; Fourty Four Owners Company; ZAM ZAM Fourty Five,Bus Station; Commercial; Odeon; Otc
44Z,Odeon-Pangani-Roysabu-Zimmerman-KU,thika_road,MAPPED,4,Lopha,Fig Tree; Odeon
45G,Munyu Road-Pangani-Roysabu-Githurai,thika_road,MAPPED,21,Githurai 45; Super Highway 45 Society; Tikagi; Gikakuru,Fig Tree; Otc; Railways
45K,Munyu Road-Pangani-Roysabu-Githurai-Ku,thika_road,MAPPED,21,Githurai 45; Super Highway 45 Society; Tikagi; Gikakuru,Fig Tree; Otc; Railways
45P,Githurai-Proggie,,MAPPED,21,Githurai 45; Super Highway 45 Society; Tikagi; Gikakuru,Fig Tree; Otc; Railways
46B,Ronald Ngala-Juja Road-Eastleigh-Rounda,,MAPPED,58,Jonsaga Flats; Neema Agency; Aldana; Ecosa; Dandora Usafiri; Kariobangi; Risen Company; Eastern Bypass Traverlers Investment CO; Five Friends Investment Company; QUE Services; Salty Bizada Investment; Southleigh S; Ummoinner Class; 8B; Aldana Supreme; FIG Prestige Management Company; Githurai 45; Huruma Mini-bus; Jesmat Co-oprative; Madiwa; Nicco Movers; Pejo Tech Company; Salty Supporters Investment; Southleigh,Bus Station; Commercial; Fig Tree; Gikomba; Kencom; Knh; Muthurwa; Odeon; Otc
46H,Ronald Ngala-Juja Road-Eastleigh-Huruma,,MAPPED,41,Jonsaga Flats; Neema Agency; Risen Company; Aldana; Dandora Usafiri; Eastern Bypass Traverlers Investment CO; Ecosa; Kariobangi; QUE Services; Salty Bizada Investment; Ummoinner Class; 8B; Aldana Supreme; FIG Prestige Management Company; Githurai 45; Huruma Mini-bus; Jesmat Co-oprative; Madiwa; Nicco Movers; Pejo Tech Company; Salty Supporters Investment; Southleigh S,Bus Station; Commercial; Fig Tree; Gikomba; Kencom; Knh; Muthurwa; Odeon; Otc
46K,Kencom-Valley Road-Yaya Centre-Kawangware,,MAPPED,4,City Star Shuttle; KBS; Risen Company,Bus Station; Commercial; Kencom; Knh; Odeon; Otc
46Y,Kencom-Valley Road-Hurlinghum-Yaya Centre,,UNMAPPED,0,,
48A,Odeon-Chiromo-Strathmore School-Lavington,,UNMAPPED,0,,
48B,Odeon-Chiromo-Westlands Bypass-Methodist Guesthouse-Othaya Road,,MAPPED,14,Killeton Commuters Services Savings AND Credit Cooperative; Mwiki PSV Society; Meruit Logistics; Nakathi; Nazigi; Rasasi; Risen Company,Bus Station; Commercial; Fig Tree; Kencom; Knh; Odeon; Otc
48C,Odeon-Chiromo-Westlands-ByPass-Yaya,,MAPPED,18,Killeton Commuters Services Savings AND Credit Cooperative; Risen Company; Mwiki PSV Society; KBS; Meruit Logistics; Nakathi; Nazigi; St. Marys Transport Society,Bus Station; Commercial; Fig Tree; Kencom; Knh; Odeon; Otc
48K,Westlands-ABC Place-Lavington-Kawangware,,MAPPED,3,Welkan 48 Society,
48O,Odeon-Chiromo-Kileleshwa-Othaya Road,,UNMAPPED,0,,
4W,Railways-Ngong Road-Wanyee-Kaberia,ngong_road,MAPPED,33,Garamu Travel Solutions; RAJ Safaris; Kadana; Kibera Bureti; Kibera; Kiragi; MAT TWO Friends; Pakin Alicia Society; Dakika; Expreso; Fastrack United AND Credit; Karuri Commuters Services Savings AND Credit Co-opertaive Society; KBS; Latema Sacco; Matatu Crew Association; Nangkis Matatu; Ngokana; Pals Matatu; Rasasi; Risen Company; Serian; Snowball Society; Starbus Company (k),Bus Station; Commercial; Gikomba; Kencom; Knh; Koja; Odeon; Otc; Railways
6E,Church Army-Biafra-Joster,,UNMAPPED,0,,
70/71,Muthurwa-Likoni-Sinai-Lunga Lunga,kangundo_road,MAPPED,17,Geobeat Maoka; Outreach Travel; Inter Counties; Eastlands Eagles; Kani Transport; Kibera Bureti; Stahito Commuter Services CO; Umoja Innercore Tena; Utawala By-pass,Bus Station; Fig Tree; Knh; Muthurwa; Railways
7C,Kencom-Community-Equity Center-Kenyatta National Hospital,,UNMAPPED,0,,
