stage_id,name,lat,lon,corridor,routes,aliases,nearby_osm_name
0801DPR,Dennis Pritt,-1.284874,36.787950,,48C,,
0701DNL,Denoil,-1.269155,36.680122,,102,,Thogoto
0502DVK,Devki,-1.444158,36.989459,,110AK 110ATH,,
0200DMD,Diamond Flats,-1.203990,36.833010,kiambu_road,100 120 121 100A,,
0501DPE,Diamond Park Estate,-1.319745,36.851265,,11_2,,Dreamline Bus services
0401DSL,Diesel,-1.270568,36.919652,,20 17A 18C 1960 16/62 17Aky 1961K 1961Kd,Goa Kayole Church | Kayole Hispital/Biason Road,Kayole Hospital
0501DSC,Discount,-1.307496,36.822293,,14A 14B 33SB,Kodi I | Nairobi West Stage,
0801DMN,Dominion Church,-1.247590,36.681560,,103 105 115 135 114W,Regen,White House/Regen
0500DBC,Don Bosco,-1.337240,36.727780,,24BK,Don Bosco Church,
0701DBO,Don Bosco,-1.304255,36.692517,,1,Pepo Lane/St.Odillas,
0501DBB,Don Bosco Boys Training Institut,-1.326854,36.711103,,24 24C,Karen Catholic Church,Karen Hardy Bus Station
0410DNB,Donbeach,-1.305430,36.882598,,70/71,Doni Beach,
0403DMS,Donholm,-1.300211,36.885745,,70/71,,
0410DNR,Donholm Roundabout,-1.297260,36.885320,,33C 34B 34J 04SK 1960 33DP 33TP 1961K 19Cdc 19Cjk 33FED 33GTB 35/60 38/39,,
0412DON,Doni,-1.298040,36.887080,,33C 34B 34J 1960 33DC 33DP 33TP 1961K 19Cjk 33FED 33GTB,,
0411DLP,Dr. Livingstone Primary School,-1.287236,36.865176,,26S 23KS,,
0211DRV,Drive In,-1.248373,36.863078,thika_road,25 43 49 145 17B 237 25A 44G 44Z 45G 45K 29/30,,Stage 29/30
0411DTB,Dt Dobie,-1.298750,36.837810,,69 405,,
0401DNE,Dune,-1.270022,36.994872,,3738 38/39,,Ruai
0511MCH,Dunga Road/ Machakos,-1.299774,36.830073,,11 11_2,Machakos Road | Nairobi Water,Railway Stage
0310DUN,Dunia,-1.255699,36.893000,,36 41 42 32D,,SENIOURS STAGE
0400EST,East Capital,-1.275294,36.891604,,04SK 19C2 19Cdc 38/39,,Kariobangi South
0313EST,Eastleigh Terminal,-1.272250,36.848948,,6 18C 17Aky,,Mkokoteni
0512ESC,Easy Coach/Uchumi,-1.289218,36.828251,,2 8 56 102 110 111 110ATH,Railways,Easy Coach Booking Office Nairobi
0800EDS,Eden Square,-1.269190,36.806400,,30 105 115 135 48C 114W 23KG,,Chiromo Bus Stage
0800ELM,El Molo Drive/Subru Motors,-1.278324,36.770258,,48A 48K,Shell/Lavington/Subru Motors,
0801ELW,Eldama Park/Westhouse,-1.252953,36.802685,,119A,Westhouse,Peponi Road
0701ELM,Elim,-1.305045,36.772291,,5,,Jamhuri Estate
0501ELD,Elshadai,-1.287591,36.979692,,33J 33UTW,,Fagilia Stage
0500ELD,Elshadai,-1.289385,36.974660,,33J 33UTW,,Fagilia Stage
0701ELP,Elsi Place,-1.340269,36.667122,,111,Kwa Muchina,Juanco Bus Stop
0501EMB,Embakasi,-1.310516,36.913524,,33B 33FED,Embakasi Village | Village Police,
0401EPA,Epren Academy,-1.295470,36.895680,,34B 1961K 19Cjk 1961Kd,,
0511EPZ,EPZ,-1.469175,36.960858,,110 110AK,Epz,
0401EQY,Equity,-1.258307,36.878860,,26 26S,KCB,ROUTE 46
0401QTY,Equity,-1.309235,36.845737,,69,,
0310EQT,Equity,-1.252438,36.897528,,36 41 42 32D,,
0201EQT,Equity,-1.217701,36.898982,thika_road,49 17B 17B_2,Grand Point | Metro,Equity
0300EQT,Equity,-1.278382,36.830223,kiambu_road,3N 100,New Ngara Estate | Ngara Stage | Total,Narokline
0703EQY,Equity Ayani,-1.311096,36.775770,,8 32A,,Bombolulu Stage
0500EQT,Equity Bank,-1.326770,36.789610,,15 34L,Oil Libya | Oilibya Petrol Station,
0200EQY,Equity Gikomba,-1.285190,36.838020,,7,,Naivasha bus stop
0510ETG,Eternity Gospel Church,-1.329351,36.713270,,24C,,Karen Hardy Bus Station
0201EVR,Evergreen,-1.210600,36.833130,kiambu_road,100 120 121 100A,,
0501EXC,Exciting,-1.395455,36.731754,,126 126RK,,
0400EXP,Express,-1.314765,36.854370,,69,,
0200FHA,Faith Home Academ,-1.253050,36.878651,,42 2030,,ROUTE 46
0401FLC,Falcon,-1.322638,36.869840,,69,,Imara Daima
0500FTM,Fatima,-1.396363,36.744656,,126 126RK,Olerai,
0401FDA,Fedha,-1.314621,36.894288,,33C 34J 33DC 33DP 33GTB,Fedha Estate,Fedha Matatu Stage
0210FIG,Fig Tree,-1.275607,36.823317,thika_road,6 25 49 106 107 119 11A 11C 11F 145 237 23W 25A 44G 44Z 45K 46B 46H,Ngara | Ngara Road,Fig Tree
04001LV,First Love,-1.282480,36.896710,,35/60,Inner Core,
0500FLT,Flats,-1.405433,36.716555,,126 126RK,,
0310FLT,Flats,-1.261717,36.868798,,14 28 41 18C 32D 46B 46H 16/62 17Aky,,Kwa Chief Stage
0210FLY,Fly Over,-1.150551,36.962155,thika_road,145 237,Ruiru Fly Over,Ruiru
0201PGF,Fly Over Pangani,-1.267010,36.834376,kiambu_road thika_road,6 25 43 49 100 11C 120 121 145 17B 237 25A 44G 44Z 45G 45K 100A 29/30,Pangani,Mathare Bus Stop
0801FLF,Flyover Turnoff,-1.258690,36.722670,,30 103,Ndumbuini Junction,Ndumbuini
0500FRT,Forest Lane,-1.346624,36.714338,,24C,,
0501FOR,Forest Road,-1.341346,36.714119,,24,,
0700FVM,Forest View Mall,-1.307392,36.735457,,24 111,,Lenana
0701FJE,Fort Jesus,-1.310756,36.779389,,8 32A,,Karanja Stage
0700FMK,Free Methodist Church/Karinde,-1.301165,36.682693,,1,St.Hannah'S Girls/Kenya Assemblies Of God,
0701FRK,Free Pentecostal Church/Karen End,-1.297870,36.682250,,1,Karen End Shops,
0400FDS,Friends Centre,-1.293460,36.864653,,10 26,,
0401FNN,Friends Inn,-1.265392,36.885949,,23KS,,Its Here
0700FPI,Friends Paradise Inn/Kaberia,-1.291929,36.734345,,4W,Kwa Hospitali/Kaberia | Kwa Maji/Kaberia | New Kaberia Supermarket | Simpsons Bar And Rest,Kabiria Kwa maji
0710FGP,Full Gospel,-1.298354,36.752460,,4W,Full Gospel Church/Kiruria,Kimbo Stage Bus Stop
0701FGS,Full Gospel,-1.251979,36.665049,,102,Green Gardens School,Kikuyu
0101FRK,Furaha/ Kag Ndenderu,-1.195400,36.751750,,107 114R,,
0401GEE,G,-1.279820,36.887110,,35/60 3560_2,Umoja Primary,Umoja/ Mutindwa
0210GAS,G Gas Shop,-1.205620,36.895016,thika_road,44G 44K 44Z,,Canopy-Town Stage
0511GSU,G.S.U,-1.289458,36.949353,,33H 33J 33UTW,GSU,Kwa Chiefs Stage
0701GDB,Gachangi/Darajani/Baptist Church,-1.273125,36.732513,,3U 103,,
0101GRJ,Gacharage Junction,-1.200410,36.760580,,107 114R,Rumenya,
0701GCU,Gachui,-1.281828,36.696257,,2 102,Gachui/Ruthimitu Chief'S Camp | Ruthimitu Secondary School,
0801GAC,Gacio Junior Academy,-1.238560,36.726420,,118,Kasio,Gacio
0800GPR,Gama Pinto Road,-1.261870,36.799740,,30 105 115 135 48K 114W 23KG,,Peponi Road
0701GRG,Garage,-1.348812,36.661131,,111,,Zambia
0201GRG,Garage,-1.231222,36.924549,thika_road,17B 17B_2,Kwa Garage | Kwa Miti,Hunters
0210GRG,Garage Stage,-1.279238,36.849785,,28 41,,
0500GOE,Garden 1 Estate,-1.325958,36.832582,,12D,,Mash Bus services
0501GAR,Gardens,-1.325519,36.790575,,34L,,
0701GRD,Gardens,-1.254207,36.665672,,102,,
0113GCH,Gasolina/Gichagi Mwisho,-1.219641,36.766688,,108,,
0310GTR,Gate 3 A,-1.266197,36.910637,,18C 16/62,Gertrudes,Kanisani
0300GHT,Gate 8,-1.268780,36.912987,,17A 18C 1960 19C2 16/62 17Aky 19Cdc 19Cjk,Kanisani,Kanisani
0511GTA,Gate A,-1.312560,36.909543,,33FED,,Aviation
0403MWF,Gate B,-1.308021,36.903472,,33GTB,,Kwa Ndege Matatu Stage
0501GTD,Gate D,-1.308442,36.909560,,33FED,,Kwa Ndege Matatu Stage
0110GTH,Gathanga Stage,-1.198999,36.784440,,106 116,Kiambea,Gathanga Stage/Kiambea
0201GTJ,Gathanji,-1.089753,36.782261,kiambu_road,120,Jamaica,
0201GTC,Gathecha,-1.240786,36.887714,thika_road,25A,Ksc Intenational,Kemrif
0800GAT,Gathiga,-1.219036,36.738837,,119A,Gathiga Mwisho,
0801GAT,Gathiga Secondary School,-1.222008,36.747399,,119A,,
0711GTD,Gathondeki,-1.271824,36.729725,,3U 103,,ILRI Bus Stop
0800GMG,General Mathenge,-1.254809,36.802191,,119A,General Mathenge Junction,Peponi Road
0701GNS,Genesis,-1.296426,36.741805,,4W,Ngotho Road,Satellite
0700GEH,Gerick House,-1.297860,36.751375,,4W,,Kimbo Stage Bus Stop
0800GRP,German Embassy/Riverside Paddocks,-1.268324,36.785744,,48A,Riverside Paddocks,Safaricom/Saf
0400GPM,Giant Pharmaceuticals,-1.285790,36.887630,,35/60,Jambo Cyber,Umoja/ Mutindwa
0500GCG,Gichagi,-1.425355,36.693466,,126 126RK,,Kiserian matatu station
0811GCN,Gicini,-1.191999,36.650001,,115 135 114W,Kwa Gicini,
0213GHD,Gihurai,-1.204341,36.916884,thika_road,145 237 45G 45K,Githurai,Githurai
0303GKM,Gikomba,-1.284125,36.840499,,7 28 3N 41,Gikomba Market Terminals,
0810GIT,Gitaro,-1.232893,36.669092,,103 105 115 129 135 114W,Gitaru | Gitaru Junction | Gitaru/Vantage School,Gitaru
0800GIT,Gitaro,-1.239081,36.674939,,115 135 114W,,Kampala
0700GRU,Gitaru,-1.231977,36.670458,,103 129,,Gitaru
0501GTH,Githeri Rise,-1.316523,36.838543,,11,,Mash Bus services
0201GTO,Githogoro,-1.218600,36.835790,kiambu_road,100 120 121 100A,,
0513GTR,Githunguri,-1.286566,36.982478,,33J 33UTW,,
0213GGD,Githunguri Terminal,-1.056368,36.778930,kiambu_road,120,,Githunguri Matatu Stage
0201GIG,Githurai,-1.202923,36.917530,thika_road,145 237 45K,,Githurai
0212GTP,Githurai,-1.205374,36.918576,,45P,,Githurai
0501GMS,GM,-1.329676,36.870983,,69 110 33B 33TP 33FED 33IMR 33MKR 33UTW 110ATH,Gm Mwisho | Gm Town,Imara Daima
0411GMM,Gm,-1.326088,36.870826,,69,,Imara Daima
0711GCP,Golf Course Phase 2,-1.309261,36.798458,,33NG,Ngumo Market,Ngumo Stage
0701GHS,Good Samaritan High School,-1.296923,36.749861,,4W,Ithembe | Wanyee Stage,Satellite
0201GSP,Gospel Church,-1.208688,36.893951,thika_road,44G 44K 44Z,Royal,Zimmerman Stage
6050GPO,GPO,-1.286040,36.818211,,5 7C 24C 32A 46K 46Y 33UTW,Gpo,East Africa Shuttles and Safaris
0211GRF,Graffins College,-1.265996,36.805414,,23W,,Westlands Bus Stop
0700GBK,Green Belt/Kanyariri,-1.227800,36.698182,,103 129,Kanyariri,King'eero/Mwisho
0401GNF,Green Field,-1.294510,36.896260,,34B 1961K 19Cjk 1961Kd,,
0700GGL,Green Gardens School,-1.250890,36.664915,,102,,Kikuyu
0400GNS,Green Span,-1.285960,36.904160,,1961K 19Cjk 1961Kd,Green Span Estate,Masimba
0101GVS,Green Valley School,-1.125007,36.677194,,116,,
0101GOG,Guango,-1.195673,36.780783,,106 116,,Guango
0211GNK,Guru Nanak,-1.268919,36.832850,thika_road,6 25 49 11C 145 237 25A 44G 44Z 45K 46B 46H,,
0810GCR,Ha Gicuru,-1.228431,36.665231,,115 135 114W,,Gitaru
0411HMZ,Hamza,-1.296980,36.875660,,36 58 33C 34B 34J 04SK 1960 33DP 33TP 1961K 19Cdc 19Cjk 33FED 33GTB 35/60 38/39,,
0401HRB,Harambee,-1.285141,36.873807,,26,,
0401HRS,Harambee Sacco,-1.292620,36.899270,,34B 1961K 19Cjk 1961Kd,Phase 5,
0401HUJ,Harambee Uhuru Junction,-1.281880,36.871372,,26 26S 23KS,Uhuru Primary School,
0500HRN,Hardy Junction,-1.364737,36.742286,,24 24C,Hardy Shopping Centre/Hardy Police Station | Hardy Stage,
0501HMA,Hardy Manor,-1.365576,36.737851,,24 24C,,
0401HMN,Harmony,-1.266028,36.879881,,26 17A 26S 17Aky,Mayaka,Kwa Mbao Stage
0501HCC,Hashi/Visions Of Glory Church,-1.390667,36.766832,,125 126,Masai Lodge,
0501HAZ,Hazina Estate,-1.316030,36.848409,,11,South B Mwisho | South B Stage,Dreamline Bus services
0701HKA,Hekima,-1.330450,36.678428,,111,Maasai High School,Umoja Bus Station
0800HES,Heshima Supermarket,-1.264030,36.751390,,30 105 115 135 114W 23KG,Posta Kangemi,Sodom
0211HIP,High Point,-1.094897,37.028827,thika_road,237,Highpoint,High point
0503HRS,Highrise,-1.314683,36.808175,,16 24C 34L 33SB,,Kenyatta Market
0601HIG,Highway,-1.311264,36.800064,,33NG,Highway Cottage | Pcea Junior,Ngummo Bus Stop
0503HWY,Highway Estate,-1.326008,36.840219,,12D,,Dreamline Bus services
0801HVW,Hill View,-1.246299,36.774265,,118 119,,Crossroads
0501HLC,Hillcrest,-1.338550,36.736950,,24BK,Hillcrest Lane | Hillcrest Road,
0510HLC,Hillcrest,-1.338090,36.733920,,24BK,,
0400HCC,Hillocks Country Club,-1.319164,36.865314,,69,,
0400HDH,Hodihodi,-1.293090,36.866034,,10 26,,
0401HMB,Homabay,-1.307088,36.842819,,69,,
0201HML,Homeland In,-1.232262,36.875650,thika_road,49 145 17B 237 44G 44Z 45G 45K,,Route 44/45
0200HML,Homeland In,-1.234187,36.874215,thika_road,43 49 145 17B 237 44G 44Z 45G 45K,Shell,
0700HVE,Hopevision Academy/Karen End Flats,-1.296535,36.682916,,1,,
0400HNB,Hornbill,-1.278760,36.888656,,17A 17Aky 35/60 3560_2,Junction | Plan B,Umoja/ Mutindwa
0500HSM,Horse Man,-1.421689,36.700664,,126 126RK,,
0500HST,Hostel,-1.338413,36.773181,,24 125 126 24C,Wck,
0411HOM,Houes Of Manji,-1.309543,36.857300,,70/71,,
0510HQS,Hq/Headquaters,-1.324143,36.797008,,15 125 126 24C,,
0601HDH,Huduma Church/Hotel 56,-1.287819,36.753322,,56,St.Francis/Kanisani,St Francis
0211HNT,Huntas,-1.227542,36.917967,thika_road,49 17B 17B_2,Huntas Stage,Hunters
0611HUR,Hurlingham,-1.294638,36.797727,,5 56 46K 46Y,Hurlinghum,Bus Stop
0610INM,I&M,-1.284968,36.820236,,5 7C 32A 46K 46Y,,East Africa Shuttles and Safaris
0811IKA,Ika Ithano,-1.178246,36.643085,,115 135 114W,,Muguga
0201IKN,Ikinu,-1.099779,36.795763,kiambu_road,120,,
0701LRI,ILRI,-1.266950,36.723189,,3U 103,Ilri,ILRI Bus Stop
0801ILA,Ilri/Uthiru Roundabout,-1.264320,36.721200,,30 3U 103,Uthiru | Uthiru Roundabout,Uthiru
0513IMD,Imara Daima,-1.325200,36.880808,,33IMR 33MKR,,Maziwa bus stop
0501IMR,Imara Daima,-1.328381,36.881282,,110 33B 33TP 33FED 33UTW 110ATH,,Maziwa bus stop
0711IMP,Impala,-1.300448,36.769200,,2 5 24 4W 102 111 24C,Impala/Makini/Jamuhuri,Kibera
0800IMP,Impala Hotel,-1.264075,36.810185,,118 119 11B 119A,Mp Shah,Westlands/Ngara/Town Stage
0801IMP,Imperial Bank,-1.270324,36.799344,,48A,,Westlands Bus Stop
0511IND,Industrial Area,-1.298461,36.828025,,11 11_2,Industrial Area Round About,Railway Stage
0401IND,Industrial Area,-1.300130,36.836010,,405,,
0401IFA,Infill A,-1.271380,36.909510,,19Cdc 19Cjk,Phase 3A,Kwa D.O
0411IFB,Infill B,-1.266120,36.906820,,18C 19C2 16/62 19Cdc 19Cjk,Phase 4 | Phase 4 Stage | View Park,Kanisani
0403INC,Innercore,-1.282910,36.895490,,35/60,,
0601INT,Integrity Centre,-1.289765,36.810258,,5 56 46K 46Y,Panafric,
0800IGL,Isaac Gathanju Road/Lavington Shopping Centre,-1.279960,36.769263,,48A 48K,Lavington Shopping Centre/Shell,
0800ISK,ISK,-1.232788,36.763997,,119A,Isk,
0201JAC,Jacarada,-1.192145,36.898695,thika_road,44G 44K,Kwa Mto,Githurai 44
0801JCA,Jacaranda,-1.279428,36.783534,,48B 48O,,
0401JCN,Jacaranda,-1.287520,36.904620,,34B 1961K 19Cjk 1961Kd,,
0811SYJ,Jacaranda/Siaya Road,-1.282289,36.787224,,48B 48C,Siaya,
0811JMK,Jacmil Supermarket/Kinoo Stage,-1.255330,36.693760,,103 105 115 135 114W,Kinoo,Kinoo Bus stop
0101JAK,Jakai,-1.219745,36.772222,,108,,
0201JAM,Jamaica,-1.074147,36.781376,kiambu_road,120,,
0700JPS,Jamhuri Primary School,-1.302060,36.766956,,5,,Kibera
0701JSC,Jamhuri Shopping Centre,-1.304417,36.771030,,5,,Jamhuri Estate
0710JSS,Jamhuri Station Road Stage,-1.303983,36.769137,,5,,Kibera
0101JHS,Jamuhuri High School,-1.273350,36.822970,,106 107 116 11A 11F 114R 114W,Ngara Stage | Ngara Teminal,Jamhuri High School
0711JKR,Jamuhuri/Kibera Station Road,-1.300063,36.767103,,2 4W 102 111 24C,,Kibera
0411JNV,Jana Villa,-1.291903,36.852417,,6E,,Church army
0310JAY,Jay Community,-1.265996,36.852864,,14 28 41 18C 32D 46B 46H 16/62 17Aky,,Kambi
0710JPS,Jayce Petro Station,-1.355179,36.657421,,111,Kenol | Pcea Endorro Emuny,Country Club
0411JSC,Jerusalem Shopping Centre,-1.285251,36.867947,,26S 23KS,Uhuru Fields,
0400JSK,Jeska,-1.287810,36.891670,,35/60,Kona,Umoja/ Mutindwa
0701JCR,Jirani Centre,-1.295968,36.743277,,4W,,Satellite
0210JKT,Jkuat,-1.106981,37.015873,thika_road,237,Jkuat Main Gate Stage | Juja Stage,towards Nairobi
0311JOD,Joada,-1.256726,36.907904,,18C 3738 16/62,Ogopa Stage | Saika,
0711JOG,Jogoo,-1.329173,36.681338,,111,Jogoo/Kbc,Bus station
0311JSG,Johnsaga,-1.261960,36.874043,,14 28 41 18C 32D 46B 46H 16/62 17Aky,,ROUTE 46
0403JOS,Joster,-1.282806,36.851112,,6E,,
0100JYL,Joyland,-1.204690,36.775980,,107 114R,,
0410JST,Joystar,-1.286890,36.889310,,35/60,,Umoja/ Mutindwa
0311JUA,Jua Cali,-1.248276,36.908139,,36 41 42 32D,,
0501JKL,Jua Kali,-1.306085,36.915927,,33B,Juakali,
0101JLI,Jua Kali,-1.211161,36.874486,,53 107D,Maruirui,
0810JUN,Junction,-1.131017,36.634524,,115 135 114W,,
0401JNB,Junction,-1.289733,36.875458,,26,,
0401JUC,Junction,-1.292078,36.868654,,10,,
0400JNC,Junction,-1.263470,36.922130,,17A 1960 17Aky,Kona Mbaya | Sowematt,Mihango stage
0401JUN,Junction,-1.279710,36.910580,,20 1960,,Masimba
0310JUN,Junction,-1.259552,36.912367,,18C 04SK 3738 16/62 38/39,Junction-Komarock Road N Kangundo | Saika | Saika Junction,Step 1
0210JUN,Junction,-1.189464,36.896528,thika_road,44G 44K,,Githurai 44
0201KTJ,Junction,-1.151919,36.919517,,107D 145D,Ruiru Road Junction,Membley bus stop
0400UMJ,Junction /Umoja,-1.275972,36.887153,,17A 04SK 19C2 17Aky 19Cdc 38/39,Umoja Junction,Kariobangi South
0400TSX,Junction 30 Stage,-1.261387,36.886382,,36 41 42 18C 32D 3738 16/62,Mutarakwa Road,36 stage
0300JAS,Junction Auto Spares,-1.260655,36.874143,,14 28,,ROUTE 46
0101ION,Junction To Limuru Town,-1.133245,36.643564,,114R,,
0401KOB,K South,-1.267632,36.885368,,36 23KS,Kariobangi South Primary School,Kariobangi South
0800KLH,K1,-1.268386,36.812178,,118 119 11B 23W 119A,K1 Club,Chiromo Bus Stage
0701KBG,Kabarnet Gardens,-1.302784,36.789113,,8 32A,,Prestige Plaza
0800KBY,Kabay/Msamaria Mwema Children'S Home,-1.226270,36.728250,,119,,
0710KJS,Kaberia Junction Stage,-1.297030,36.756553,,2 3U 4W 102 103,,Tankard
0701KPY,Kaberia/Pc Kinyanjui Technical Training Institute,-1.292670,36.735423,,4W,Riruta Satellite Primary School,Riruta
0800KBL,Kabete Lane/Total Spring Valley,-1.254190,36.792800,,118 119,Total/Kabete Lane,Kabete Lane/Total Spring Valley/ Bypass
0811KBP,Kabete Police Station,-1.261620,36.725514,,105 115 135 114W,Mariguini,N (Posta / Technical)
0810KBT,Kabete Pp,-1.263112,36.728762,,30 105 115 135 114W,Nne Market Stage,N (Posta / Technical)
0810KRC,Kabete Rehabilitation Center,-1.238917,36.731366,,118,,Gacio
0801KBT,Kabete Springs,-1.240831,36.751169,,118,,Kabete Spring Valley
0801KBI,Kabete Technical Institute,-1.263610,36.727050,,30,,N (Posta / Technical)
0110BUK,Kabuku Junction,-1.150767,36.668272,,114R,,
0211KAH,Kahawa,-1.198452,36.921460,thika_road,145 237 45K,,Githurai
0101KHR,Kahawa Railways Roundabout,-1.185664,36.906667,,107D,,Kahawa West
0500KHN,Kahungo,-1.422616,36.697947,,126 126RK,,
0812KAK,Kaka Terminal,-1.285635,36.830776,,7 58 135 32D 34B 34J 04SK 33TP 19Cdc 19Cjk 33FED 35/60,Salvation Army | Terminal Otc,Naivasha bus stop
0410KLL,Kaloleni,-1.293040,36.845630,,10 36 58 33C 34B 34J 04SK 1960 23KS 33DP 33TP 1961K 19Cdc 19Cjk 33FED 33GTB 35/60 38/39 70/71,Shauri Moyo,Church army
0401KMK,Kamakis,-1.171119,36.972287,,145B,,
0811KDR,Kamandura,-1.129363,36.633967,,115 135 114W,,
0810KBB,Kambembe,-1.145791,36.637495,,115 135 114W,Rironi,
0201KAM,Kamindi Supermarket,-1.171710,36.828080,kiambu_road,100,,Kiambu Bus Stage
0801KRH,Kamirithu,-1.117688,36.631237,,115 135 114W,,
0200KMT,Kamiti Road Junction,-1.182127,36.894298,thika_road,44G 44K,Karura,
0810KPL,Kampala,-1.240285,36.675546,,103 105 115 135 114W,Kampala Way Filling Station,Kampala
0801KPL,Kampala,-1.135621,36.635547,,115 135 114W,,
0401KPL,Kampala,-1.311243,36.849444,,69,Kayaba,
0101KKB,Kamukabi,-1.222324,36.780623,,108,,
0500KMR,Kamura,-1.410050,36.712277,,126 126RK,,
0811KAM,Kamutii Car Wash,-1.234571,36.714712,,118,Ndongoro,Kamutii-Ini
0801KAM,Kamutii-Ini,-1.229795,36.709790,,118,Modern Oil Service Station | Rungiri,Kamuti-ini Bus stop
0801KAN,Kandara Road,-1.276110,36.793069,,48B 48O,Kileleshwa Day Nursery | Parklane Place,
0501KND,Kanga Road,-1.323440,36.778660,,15,,
0810KMI,Kangemi,-1.264120,36.746630,,30 105 115 135 114W,Kangemi Market | Mountain,Kangemi
0813KGT,Kangemi Terminus,-1.264980,36.749530,,23KG,Total Petrol Station Kangemi,Kangemi
0801KGD,Kangundo,-1.279635,36.790476,,48B 48C,Queen'S Park,
0801KNN,Kanini,-1.234120,36.744580,,119,,Kirawa Close
0500TAB,Kanisa Mabati,-1.310757,36.835206,,11 11_2 33SB,Mariakani | South B Stage | Vumira House,Mash Bus services
0500KAN,Kanisani,-1.407446,36.714446,,126 126RK,Kanisani/Pcea,
0401KSN,Kanisani,-1.257172,36.878816,,26 42 26S 2030,Kariobangi | Shell Petrol Station,ROUTE 46
0411KNS,Kanisani,-1.269850,36.913350,,17A 1960 17Aky 19Cjk,Pcea,Kanisani
0700KPG,Kanisani Pcea Gathimwa,-1.281360,36.691763,,2 102,,Dagoretti Market
0603KNG,Kanungaga/56 Mwisho,-1.278492,36.750875,,56,,56 Stage
0511KAP,Kapa,-1.363709,36.910514,,110 110ATH,,
0510KPT,Kapiti Crescent,-1.313471,36.838260,,11 11_2,Karuku,Mash Bus services
0501KPT,Kapiti Junction,-1.310729,36.837755,,11 11_2,Mchumbi Road | Mosque | South Gate Centre,Mash Bus services
0411KPS,Kapsoit Road Junction,-1.282040,36.886710,,35/60 3560_2,Umoja Dispensary,Umoja/ Mutindwa
0301KMB,Karambe,-1.266832,36.845440,,14 46H,,Mkokoteni
0701KAR,Karanja,-1.309714,36.780324,,8 32A,San Siro,Karanja Stage
0711KRN,Karen,-1.322568,36.706687,,1 24 111 24C,Karen Dispensary | Karen Police Station | Karen Shopping Centre/Karen | Karen/Nakumatt Crossroads | Karen/Shell,The Lower Shell Stage
0500KCY,Karen C Primary School,-1.339320,36.742600,,24BK,Karen C Secondary School,
0501KCL,Karen Catholic Church,-1.325946,36.710312,,24 24C,St.Marys Karen Primary School,Karen Hardy Bus Station
0501KAE,Karen Country Club,-1.339400,36.714824,,24 24C,,
0511KNH,Karen Hospital,-1.336970,36.725770,,24BK,,
0500KRJ,Karen Road Junction,-1.333746,36.716578,,24 24C 24BK,Karen Road-Lang'Ata Road Junction | Lang'Ata Road Junction,
0501KSS,Karen South Secondary,-1.339800,36.745560,,24BK,,
0510KJC,Kareng'Ata/Jkuat/Cuea,-1.353708,36.747080,,24 24C,Karengata/Cuea/Jkuat Stage,Karen Campus
0811KAR,Kari,-1.259740,36.773920,,30 105 115 135 114W 23KG,,James Gichuru/Agriculture
0501RIA,Kariba Estate,-1.311496,36.840821,,11_2,,Mash Bus services
0701KRD,Karinde Pcea Junction,-1.299046,36.681759,,1,,
0201KBM,Kariobangi Market Stage,-1.255538,36.878823,,14 28 42 2030,Kariobangi Terminal,ROUTE 46
0201KRK,Kariokor,-1.279431,36.833293,kiambu_road thika_road,14 3N 43 120 121 145 17B 32D 45G 46B 46H 16/62,,Narokline
0300KAR,Kariokor Dc,-1.277703,36.834997,,7 3N,Kariokor Estate | Kwa Dc/Id,Narokline
0701KMH,Karmu House,-1.346582,36.663923,,111,,El Paso Bus Stop
0400KRT,Kartasi,-1.315107,36.860227,,69,,
0113KAR,Karura Mwisho,-1.194350,36.732040,,107,Karura Stage,Rt 107 Bus Stop
0111KRU,Karura/Runda,-1.220820,36.801360,,106 107 116 11F 114R,Runda/Karura Carwash,Karura/Runda
0801KAC,Kasuku Centre,-1.275441,36.794799,,48B 48C 48O,Kasuku/Mwingi | Kileleshwa Police Station/Roundabout | Mwingi/Kasuku Centre,
0613MWI,Kawangware Mwisho,-1.283934,36.742585,,46K,,46 Stage
0402KY1,Kayole 1,-1.262020,36.919670,,20 17A 1960 17Aky,,Kayole 1
0410K1M,Kayole 1 Market,-1.266300,36.922660,,17A 1960 17Aky,Mihang'O | Nyora,Mihango stage
0401KYJ,Kayole Junction,-1.257342,36.922846,,20 3738 38/39,,Kayole Junction Ez
0400KPS,Kayole Police,-1.264330,36.923510,,17A 1960 17Aky,Mihang'O | Post/Mihang'o,Mihango stage
0401KSR,Kayole Spine Junction,-1.278250,36.900060,,20 17A 17Aky,,Kwa maji
0700KBN,Kbc,-1.329592,36.680282,,111,,Bus station
0211KCA,Kca,-1.252175,36.859441,thika_road,25 43 49 145 17B 237 25A 44G 44Z 45G 45K 29/30,,adapt a light
0701KCC,Kcb Community,-1.329666,36.686842,,111,,K.C.B
0201KCB,Kcb Kiambu,-1.172840,36.830020,kiambu_road,100,,Kiambu Bus Stage
0400KCU,Kcb Umoja,-1.284680,36.885050,,35/60 3560_2,Mutindwa,Umoja/ Mutindwa
0700KCQ,KCB/Equity,-1.301328,36.812437,,32A,,KCB/Equity
0500KEA,Kemsa,-1.314942,36.916668,,33B 33FED,,75
0101KCK,Ken Chick,-1.132763,36.697946,,116,,
0500KNC,Kenchik,-1.411761,36.949273,,110 110ATH,,
