stage_id,name,lat,lon,corridor,routes,aliases,nearby_osm_name
0700AIC,Aic Riruta,-1.283999,36.735204,,2 102,,Riruta Stage
0301AIZ,Aic Ziwani,-1.279600,36.837297,,3N,Ziwani,Narokline
0201AIP,Aipcea,-1.119750,36.819057,kiambu_road,120,,
0410APT,Airport  Town Stage,-1.332423,36.926603,,34J,Passenger Drop Off,
0501APJ,Airport Junction,-1.344124,36.902578,,110 110ATH,,Airport Junction
0500APJ,Airport Junction,-1.346604,36.902371,,110 110ATH,,Airport Junction
0501APV,Airportview Estate,-1.313913,36.812483,,16 24C 34L 33SB,Total/Strathmore,
0510ATL,Airtel,-1.325894,36.848591,,110 33B 33IMR 33MKR 33UTW 110ATH,,Dreamline Bus services
0501AKL,Akila/Akila Police Post,-1.322649,36.830285,,12C 12D,,Mash Bus services
0500AME,Al-Mukaram Estate,-1.326178,36.831067,,12D,,
0301ALB,Albadr,-1.266168,36.849023,,14 18C 32D 46B 46H 16/62 17Aky,,Mkokoteni
0700AMD,All Mart Dagoretti Market,-1.285458,36.687271,,2,Dagoretti Market Mwisho | Kanisani/Pcea,Dagoretti Market
0210ALS,All Sops,-1.245918,36.866681,thika_road,43 49 145 17B 237 25A 44G 44Z 45G 45K 29/30,Allsops,Route 44/45
0701AHS,Alliance High School,-1.262897,36.669800,,102,,Thogoto
0711ASS,Alliance High School Stage,-1.261021,36.668262,,102,,
0511ALP,Allpack,-1.382828,36.931458,,110 110ATH,,
0501ALP,Allpack,-1.384911,36.933262,,110 110ATH,Allpack /Orbit,
0201ALP,Alsops,-1.245356,36.867652,thika_road,42 25A 2030,Terminal,Route 44/45
0501AMN,Amani,-1.280458,36.964564,,33H 33J 33UTW,,Amani bus stage
0101ALM,Amani Plaza/Almond Court,-1.259620,36.817170,,11A,Coca Cola Depot,Agha khan hospital junction/ 3rd parklands ave
0512AMU,Ambassadeur,-1.285315,36.825615,,5 24 58 7C 24C 32A 34B 34J 46K 46Y 23KS 19Cjk 33UTW,Kencom,Ambassador Bus Stage
0100ASD,Ambassadors,-1.197940,36.755370,,107 114R,Ambassadors Entrance | Ambassadors Stage,
0600AMB,Amboseli,-1.289586,36.760559,,56 46K 48K,James Gichuru/Gitanga Road Junction,Congo Stage
0501AMB,Amboseli Estate,-1.327511,36.839018,,12D,,Dreamline Bus services
0501AMR,Amref,-1.319163,36.810873,,15 24 125 126 24C 34L,,
0801APH,Aphrc,-1.229591,36.760284,,119A,,
0402AQN,Aquinas,-1.292919,36.862590,,10 26 26S,Maringo Phase1,
0810ARB,Arboretum,-1.273436,36.800785,,48B 48C 48O,Shell/Arboretum,Chiromo Bus Stage
0810ARM,Arimis,-1.148981,36.637970,,115 135 114W,,
0510ARK,Ark Junction,-1.309252,36.833673,,11 11_2,Makueni,
0101ARY,Arya Girls' Secondary School,-1.260850,36.820070,,11A,,Agha khan hospital junction/ 3rd parklands ave
0501ATH,Athi House,-1.327344,36.837894,,12D,Friends Court,Dreamline Bus services
