route,corridor,from_terminus,to_terminus,num_stages,return_towards,stages_in_order,surveyed_description,source_route_id
30,,Odeon Terminus,Ndumbuini Terminus,26,Odeon,Odeon Terminus > Museum > Chiromo > Westlands > St. Marks > Lions Place > Brookside > Aacc/Safaricom/Church Road > Aga Khan High School > Abc Place Stage > Abc Place Entrance > James Gichuru Junction > Kari > Nairobi School > Deloitte > Afralti > Kianda School > Sodom > Sugar Board/Shell > Mountain View/Total Petrol Station > Nne Market Stage > Kabete Technical Institute > Ahiti > Ilri/Uthiru Roundabout > Flyover Turnoff > Ndumbuini Terminus,Odeon-Westlands-Kangemi-Uthiru,80400003011
36,,City Stadium,Dandora Terminal,37,City Stadium,City Stadium > Shauri Moyo > Maziwa > Rikana > Church Army > Posta > Uchumi Jogoo Road > Hamza > Buruburu Phase 5 Stage > Buruburu Phase 5 Favourites > Npc Buruburu > Phase 4 Ya Juu > Bifa > Phase 4 Stage > Uchumi Buruburu > Tuskys > Mutindwa > Kenol Petrol Station > Knlb > Buruburu Phase One > Sos > K South > Acc&S Kariobangi South Church > 36 Stage > Junction 36 Stage > Wamwaris > Senior > Total > Aic Church > Marigo Nne > Kwa Mandazi > 41 Stage > Cinema > Bethany > Jua Cali > New Jeruslaem > Dandora Terminal,City Stadium-Buruburu-Kwa Mbao-Dandora,40601003611
3N,,Ngara,Gikomba,9,Ngara,Ngara > Posta > Total > New Ngara Estate > Kariokor > Kariokor > Kwa Dc/Id > Aic Ziwani > Gikomba,Gikomba-Kariokor-Ngara,30101000311
3U,,Dagoretti Corner Stage,Uthiru Pentecostal,19,Dagoretti Corner,Dagoretti Corner Stage > Deliverance Church Riruta > Kinyanjui > Sugoini > Mlangosoko > BP > Precious Blood Girls' School > Krep/Equity > Naivasha/Naivasha Road Flat > St.John College Riruta > Ndwaru > Riverside Flats > Gachangi/Darajani/Baptist Church > Gathondeki > Summer-Rock > ILRI > Uthiru > Kwa Mchanga/Total > Uthiru Pentecostal,Dagoretti Corner-Naivasha Road-Uthiru,70000000311
41,,Gikomba,Dandora Terminal,26,Gikomba,Gikomba > Pumwani Stage > Mathare Worship > BH > Agip > Number 10 > Thayo > Kwa Chief > Base > Flats > Johnsaga > Rounder > Soko > Kwa Mbao > Wamwaris > Senior > Total > Aic Church > Marigo Nne > Kwa Mandazi > 41 Stage > Cinema > Bethany > Jua Cali > New Jeruslaem > Dandora Terminal,Gikomba-Rounda-Dandora,30007004111
42,,Terminal,Dandora Terminal,19,Alsops,Terminal > Dawa Pharmacutical > Kariobangi Market Stage > Shell Petrol Station > Rounder > Soko > Kwa Mbao > Wamwaris > Senior > Total > Aic Church > Marigo Nne > Kwa Mandazi > 41 Stage > Cinema > Bethany > Jua Cali > New Jeruslaem > Dandora Terminal,Allsops-Rounda-Dandora,20807042011
4W,,Railways,Chemist/Kwa Maji/Kaberia,35,Railways,Railways > Nairobi Area Police Traffic Headquarters > Kenyatta National Hospital > Memosa/Coptic > Uchumi Hyper Ngong Road/ Ngong Hills Hotel > Nakumatt Prestige > Motherland > Adams Arcade > Posta > Posta Stage > Impala > Jamuhuri/Kibera Station Road > Nakumatt Junction > Dagoretti Corner Stage > Victory World Outreach > Suma House > Full Gospel Church/Kiruria > Ithembe > Good Samaritan High School > Wanyee Stage > Bumps > Mutindwa > Jirani Centre > Genesis > Ngotho Road > Satellite Stage > Riruta Satellite Primary School > Kaberia/Pc Kinyanjui Technical Training Institute > New Kaberia Supermarket > Simpsons Bar And Rest > Kenya Redeemed Church Riruta > St. John Othordox Church > Shine Centre > Muhia Road > Chemist/Kwa Maji/Kaberia,Railways-Ngong Road-Wanyee-Kaberia,70500004W11
53,,Roasters,Maruirui,8,Roasters,Roasters > Neighbours > Kona > Steam > Nyati > 2Nd Miguini > Ruaraka > Maruirui,Roasters-Thome-Maruirui,20400005311
56,,Railways,Kanungaga/56 Mwisho,23,Railways,Railways > Serena > Integrity Centre > Valley Road Pentecostal > D.O.D > Hurlingham > Quality > Chaka Place > Yaya > Yaya > Kilimani > Kirichwa > Montessouri > Valley Arcade > Amboseli > Braeburn > Congo > Huduma Church/Hotel 56 > St.Francis/Kanisani > Warrior/Califonia > Twinkling Stars School/Zebra Bar > Mkombozi/Fraemy Supermarket > Kanungaga/56 Mwisho,Town-Yaya-Congo-Kanungaga,60201005611
58,,Ambassadeur,Mutindwa,18,Ambassadeur,Ambassadeur > City Stadium Stage > Shauri Moyo > Maziwa > Rikana > Church Army > Posta > Uchumi Jogoo Road > Hamza > Buruburu Phase 5 Stage > Buruburu Phase 5 Favourites > Npc Buruburu > Phase 4 Ya Juu > Bifa > Phase 4 Stage > Uchumi Buruburu > Tuskys > Mutindwa,Ambassadeur-Jogoo Road-Buruburu,40601005811
