route_id,number,name,lat,lon,saccos
40705383911,38/39,Bus Station,-1.285560,36.828700,Super Metro|City Shuttle
40705383911,38/39,Temple Road,-1.286232,36.829627,Obamana|Eastern Bypass Travellers|EBTI|Forward Travellers|Kubamba Ltd|KMO Sacco
20000237011,237,Kenya National Archives,-1.284989,36.825949,Super Metro|Latema|Enabled
20000237011,237,Odeon Cinema,-1.282760,36.825050,Lopha
20000237011,237,Mfangano / Ronald Ngala,-1.285856,36.827525,Nicco
20000145011,145,Kenya National Archives,-1.284989,36.825949,Lopha
