route_id,number,saccos
40702002001,20,Gmk Sacco Limited|Five Friends Investment Company Limited
20800203001,2030,Kariobangi Matatu Owners Savings And Credit Co-Operative Society Limited
20000237011,237,KBS|Super Metro|Forward Travellers
80000002311,23KG,Cosy Travel Limited|Kangemi Matatu Owners Sacco
40201002311,23KS,Arbab Ventures Limited|Karuri Commuters Services Savings And Credit Co-Opertaive Society Limited|Telaviv Travellers Limited
50206002411,24,2Kw Savings And Credit Co-Operative Society Ltd|Chania Travellers Sacco|Eastern Bypass Traverlers Investment Co. Limited
50000002412,24BK,2Kw Savings And Credit Co-Operative Society Ltd|Chania Travellers Sacco|Eastern Bypass Traverlers Investment Co. Limited
70201024C11,24C,Buruburu 58 Travellers Savings And Credit Co-Operative Society Limited|Garamu Travel Solutions Limited|Kadana Travellers Savings And Credit Co-Operative Society Limited
20801002511,25,Eastleigh Commuters|Nicco Movers|MSL (Mwiki Sacco)
20801025A11,25A,Forward Travellers|Nicco Movers|Aldana Travellers Sacco
40501002611,26,Arbab Ventures Limited|Aldana Travellers Sacco|Bakaki 101 Travellers Savings And Credit Co-Operative Society Limited
40403002611,26S,Arbab Ventures Limited|Aldana Travellers Sacco|Bakaki 101 Travellers Savings And Credit Co-Operative Society Limited
30800002811,28,Kariobangi Matatu Owners Savings And Credit Co-Operative Society Limited|Neema Travellers Agency Limited
20701293011,29/30,Kayo-Line Group Company Limited|Mnk Sacco Society Ltd|Rembo Shuttle Savings And Credit Sacco Ltd
80400003011,30,Kariobangi Matatu Owners Savings And Credit Co-Operative Society Limited|2B Travellers Sacco Ltd|Baba Dogo 25 Travellers Sacco
70200003211,32A,County Link Savings And Credit Co-Operative Society Ltd|Benjo( K) Ltd|Circular Classic Company Limited
30907003211,32D,Benjo( K) Ltd|Eastern Bypass Savings And Credit Co-Operative Society Limited|Pejo Tech Company Ltd
50703033C11,33B,MSL (Mwiki Sacco)|Sony Classic Shuttle East Africa Limited|Benjo( K) Ltd
40700033C11,33C,Eastleigh Commuters|2Kr Route 105 Multipurpose Cooperative Society Limited|Baba Dogo 25 Travellers Sacco
40700003311,33DC,Baba Dogo 25 Travellers Sacco|Fastrack United And Credit Cooperative Society|Jonsaga Flats Sacco
40100003311,33DP,2Kr Route 105 Multipurpose Cooperative Society Limited|Baba Dogo 25 Travellers Sacco|Bybuss Trans Limited
50702003311,33FED,Arbab Ventures Limited|Benjo( K) Ltd|Fig Prestige Management Company Limited
40701003311,33GTB,2Kr Route 105 Multipurpose Cooperative Society Limited|Baba Dogo 25 Travellers Sacco|Buruburu 58 Travellers Savings And Credit Co-Operative Society Limited
50700033H01,33H,Bakaki 101 Travellers Savings And Credit Co-Operative Society Limited|County Link Savings And Credit Co-Operative Society Ltd|Eastern Bypass Savings And Credit Co-Operative Society Limited
50600003311,33IMR,Mwiki Psv Sacco Society Limited
50703033J01,33J,Forward Travellers Sacco Ltd|Gikaki Sacco Society Limited|Inagi Travellers Sacco
50600033A11,33MKR,Indima (Nje) Sacco|Manama Travellers Limited|Nakaski Transort Savings Credit Sacco Ltd
70000203311,33NG,Metrotrans East Africa Limited|Rwaken Investments Limited
70101013301,33SB,Telaviv Travellers Limited
50701003311,33TP,MSL (Mwiki Sacco)|Fig Prestige Management Company Limited|Mwiki Psv Sacco Society Limited
50700003311,33UTW,Expreso Limited|Forward Travellers Sacco Ltd|Gikaki Sacco Society Limited
40702034B11,34B,Baba Dogo 25 Travellers Sacco|Expreso Limited|Ngong Travellers Sacco
40700003411,34J,Libera Impex Limited|Nkikan Sacco Society Limited|Oromats Sacco Society Ltd
70100203411,34L,Rasasi Travellers Limited|St. Marys Transport Sacco Society|City Star Shuttle Limited
40704356011,35/60,Umoinner Sacco Ltd|Umoja Innercore Tena Matatu Owners Savings And Credit Co-Operative Society Ltd
40704356001,3560_2,Super Metro|Embassava|Nicco Movers
40601003611,36,Dabumato Commuter Service Savings & Credit Co-Operative Society Ltd|Dandora Usafiri Travellers Sacco|Eastlands Eagles Limited
30603373812,3738,Bakaki 101 Travellers Savings And Credit Co-Operative Society Limited|Expreso Limited|Five Friends Investment Company Limited
40705383911,38/39,Pinpoint Solution (K) Ltd|Forward Travellers Sacco Ltd|Kani Transport Savings And Credit Co-Operative Society Limited
30101000311,3N,Aldana Travellers Sacco|Arbab Ventures Limited|Baba Dogo 25 Travellers Sacco
70000000311,3U,2Kw Savings And Credit Co-Operative Society Ltd|Super Metro Limited
40101040501,405,Kenya Bus Service Management Limited|St. Marys Transport Sacco Society
30007004111,41,Dandora Usafiri Travellers Sacco|Ecosa Travellers Sacco
20807042011,42,Aldana Travellers Sacco|Dandora Usafiri Travellers Sacco|Ecosa Travellers Sacco
20901043011,43,Forward Travellers|Eastleigh Commuters|County Link Savings And Credit Co-Operative Society Ltd
21100004411,44G,KBS|Nicco Movers|Aldana Travellers Sacco
21100004421,44K,Indima (Nje) Sacco|Kenya Bus Service Management Limited
21100004412,44Z,Aldana Travellers Sacco|Ecosa Travellers Sacco|Forward Travellers Sacco Ltd
20000004512,45G,Forward Travellers Sacco Ltd|Kariobangi Matatu Owners Savings And Credit Co-Operative Society Limited|Kayo-Line Group Company Limited
20000004511,45K,KBS|Aldana Travellers Sacco|Ecosa Travellers Sacco
20000004513,45P,Unified International Limited
30000046B11,46B,Huruma Mini-Bus Sacco Ltd|Benjo( K) Ltd|Eastern Bypass Savings And Credit Co-Operative Society Limited
30000004611,46H,Huruma Mini-Bus Sacco Ltd|Benjo( K) Ltd|Eastern Bypass Savings And Credit Co-Operative Society Limited
60200004611,46K,Eastern Bypass Savings And Credit Co-Operative Society Limited|Fastrack United And Credit Cooperative Society|Five Friends Investment Company Limited
60000004611,46Y,Killeton Commuters Services Savings And Credit Cooperative Ltd|Kiragi Travellers Savings And Credit Co-Operative Society Limited|Lothian Transporters
80100048A11,48A,Digital Luxury Travellers Limited
80101048B11,48B,8B Savings And Credit Co-Operative Society Ltd|Baba Dogo 25 Travellers Sacco|City Star Shuttle Limited
80200048C11,48C,8B Savings And Credit Co-Operative Society Ltd|Baba Dogo 25 Travellers Sacco|City Star Shuttle Limited
80200004811,48K,Super Metro|Embassava|Benjo( K) Ltd
80101004811,48O,Baba Dogo 25 Travellers Sacco|Digital Luxury Travellers Limited|Home Sacco Limited
21000004911,49,Forward Travellers|Eastleigh Commuters|Nicco Movers
70500004W11,4W,Jupiterline Investments Capital Limited|Kibera Bureti Sacco|Kibera Matatu Owners Cooperative Savings And Credit Society Limited
70301000511,5,2Kw Savings And Credit Co-Operative Society Ltd|Chania Travellers Sacco|Eastern Bypass Traverlers Investment Co. Limited
20400005311,53,Super Metro|Meruit Logistics Limited|Super Metro Limited
60201005611,56,Kiragi Travellers Savings And Credit Co-Operative Society Limited|Fastrack United And Credit Cooperative Society|Five Friends Investment Company Limited
40601005811,58,Dabumato Commuter Service Savings & Credit Co-Operative Society Ltd|Dandora Usafiri Travellers Sacco|Eastlands Eagles Limited
20702000611,6,Naboka Travellers Sacco|Aldana Travellers Sacco|Bakaki 101 Travellers Savings And Credit Co-Operative Society Limited
40102040511,69,Embassava|Indima (Nje) Sacco|Outreach Travel
40301707111,70/71,Embassava|Eastern Kubamba Limited|Latema 22 Travellers Sacco
60101007C11,7C,Lothian Transporters|Unified International Limited
70200000811,8,Kibera Bureti Sacco
