route,saccos
24C,Buruburu 58 Travellers Savings And Credit Co-Operative Society Limited|Garamu Travel Solutions Limited|Kadana Travellers Savings And Credit Co-Operative Society Limited
25,Eastleigh Commuters|Nicco Movers|MSL (Mwiki Sacco)
25A,Forward Travellers|Nicco Movers|Aldana Travellers Sacco
26,Arbab Ventures Limited|Aldana Travellers Sacco|Bakaki 101 Travellers Savings And Credit Co-Operative Society Limited
26S,Arbab Ventures Limited|Aldana Travellers Sacco|Bakaki 101 Travellers Savings And Credit Co-Operative Society Limited
28,Kariobangi Matatu Owners Savings And Credit Co-Operative Society Limited|Neema Travellers Agency Limited
29/30,Kayo-Line Group Company Limited|Mnk Sacco Society Ltd|Rembo Shuttle Savings And Credit Sacco Ltd
30,Kariobangi Matatu Owners Savings And Credit Co-Operative Society Limited|2B Travellers Sacco Ltd|Baba Dogo 25 Travellers Sacco
32A,County Link Savings And Credit Co-Operative Society Ltd|Benjo( K) Ltd|Circular Classic Company Limited
32D,Benjo( K) Ltd|Eastern Bypass Savings And Credit Co-Operative Society Limited|Pejo Tech Company Ltd
33B,MSL (Mwiki Sacco)|Sony Classic Shuttle East Africa Limited|Benjo( K) Ltd
33C,Eastleigh Commuters|2Kr Route 105 Multipurpose Cooperative Society Limited|Baba Dogo 25 Travellers Sacco
33DC,Baba Dogo 25 Travellers Sacco|Fastrack United And Credit Cooperative Society|Jonsaga Flats Sacco
33DP,2Kr Route 105 Multipurpose Cooperative Society Limited|Baba Dogo 25 Travellers Sacco|Bybuss Trans Limited
33FED,Arbab Ventures Limited|Benjo( K) Ltd|Fig Prestige Management Company Limited
33GTB,2Kr Route 105 Multipurpose Cooperative Society Limited|Baba Dogo 25 Travellers Sacco|Buruburu 58 Travellers Savings And Credit Co-Operative Society Limited
33H,Bakaki 101 Travellers Savings And Credit Co-Operative Society Limited|County Link Savings And Credit Co-Operative Society Ltd|Eastern Bypass Savings And Credit Co-Operative Society Limited
33IMR,Mwiki Psv Sacco Society Limited
33J,Forward Travellers Sacco Ltd|Gikaki Sacco Society Limited|Inagi Travellers Sacco
33MKR,Indima (Nje) Sacco|Manama Travellers Limited|Nakaski Transort Savings Credit Sacco Ltd
33NG,Metrotrans East Africa Limited|Rwaken Investments Limited
33SB,Telaviv Travellers Limited
