stage_id,name,lat,lon,kind
osm:12848630937,Dagoretti Market,-1.284420,36.682853,station
osm:10832126031,Delta Petrol Station Ruaka/Border,-1.208925,36.787827,platform
osm:10844057378,Delta Petrol Station/Border,-1.209180,36.788200,platform
osm:7234655285,Dreamline bus,-1.281798,36.827394,bus_station
osm:4421822801,Dreamline Bus services,-1.322120,36.843274,bus_stop
osm:6578209586,driver 985w,-1.197918,36.782605,bus_stop
osm:6909462287,East Africa Shuttles and Safaris,-1.284087,36.820390,platform
osm:5552492022,Eastleigh,-1.281983,36.823001,bus_station
osm:5552396282,Eastleigh Commuter Services,-1.282535,36.823907,bus_station
osm:5552396276,Eastleigh/Ngara/Mlango,-1.283816,36.825238,bus_station
osm:2875606118,Easy Coach Booking Office Nairobi,-1.288981,36.828570,platform
osm:3519591063,El Paso Bus Stop,-1.347723,36.662498,bus_stop
osm:1874204335,Elgeyo,-1.292622,36.778916,bus_stop
osm:3519591038,Elpaso,-1.352896,36.658217,bus_stop
osm:5552396290,Embassava SACCO,-1.284156,36.826224,bus_station
osm:12817662801,ENA Coach,-1.288157,36.830941,bus_station
osm:6249063513,Equity,-1.218107,36.899931,platform
osm:6249063514,Equity,-1.218004,36.900056,platform
osm:8050437492,Fae,-1.277155,36.750816,bus_stop
osm:4181655917,Fagilia Stage,-1.284412,36.971290,bus_stop
osm:8168774398,Fedha Matatu Stage,-1.314498,36.894299,platform
osm:10844057329,Fig Tree,-1.275692,36.822953,platform
osm:12075947852,Gacio,-1.238508,36.726314,bus_stop
osm:10832126005,Gathanga Stage/Kiambea,-1.198999,36.784440,platform
osm:8050437495,Gatina,-1.277659,36.752845,bus_stop
osm:12171680864,Gatitu B bus stop,-1.035818,36.857309,platform
osm:5098143924,Gikuni Bus stop,-1.195858,36.697334,bus_stop
osm:7174109428,Gitaru,-1.233091,36.670266,platform
osm:7174109440,Gitaru,-1.234516,36.670713,platform
osm:12848569569,Gitaru,-1.237374,36.675110,station
osm:1617902152,Githunguri Matatu Stage,-1.056442,36.778871,bus_station
osm:1719330031,Githurai,-1.205002,36.916300,bus_stop
osm:1719330044,Githurai,-1.203168,36.917319,bus_stop
osm:7643261486,Githurai 44,-1.195481,36.902841,bus_stop
osm:3151632203,Githurai 44 Stage,-1.198341,36.901621,bus_stop
osm:5552396285,Githurai Zimmerman,-1.282852,36.824694,bus_station
osm:10832093286,Globe,-1.277348,36.821113,platform
osm:10832126030,Guango,-1.195670,36.780800,platform
osm:12075947855,Hanita,-1.227316,36.707608,bus_stop
osm:5552396280,Hannover Trans,-1.283040,36.824304,bus_station
osm:5973212787,High point,-1.095273,37.029124,bus_stop
osm:5973212788,High point,-1.094816,37.028752,bus_stop
osm:7166907091,Hunters,-1.227426,36.917978,platform
osm:10974513714,ILRI Bus Stop,-1.268909,36.723119,platform
osm:242166302,Imara Daima,-1.328340,36.874220,station
osm:1003842253,Its Here,-1.262158,36.886751,bus_stop
osm:7174143601,James Gichuru/Agriculture,-1.259885,36.773899,platform
osm:7174143602,James Gichuru/Agriculture,-1.258857,36.775582,platform
osm:612609336,Jamhuri Estate,-1.305194,36.772648,platform
osm:10832093304,JamhurI High,-1.272161,36.822256,platform
osm:10844057376,Jamhuri High School,-1.273350,36.822970,platform
osm:3765367208,JKUAT Main stage,-1.104771,37.017513,bus_stop
osm:8932284917,jomoko mangu,-1.041784,37.057671,bus_station
osm:3519591064,Juanco Bus Stop,-1.342823,36.666266,bus_stop
osm:3731530327,Juja Stage,-1.106597,37.015300,bus_station
osm:7174109436,Junction,-1.258581,36.703456,platform
osm:7174109437,Junction,-1.258811,36.703448,platform
osm:12353556911,K-road,-1.124475,37.003140,platform
osm:3519591076,K.C.B,-1.329527,36.686903,bus_stop
osm:7645366487,K.U referral,-1.175466,36.913793,bus_stop
osm:12075947851,Kabete Lane/Total Spring Valley/ Bypass,-1.254147,36.792827,bus_stop
osm:12075947847,Kabete Spring Valley,-1.240795,36.751152,bus_stop
osm:8283452721,Kabiria Kwa maji,-1.291341,36.733684,platform
osm:8050414677,Kabiro,-1.284444,36.746258,bus_station
osm:8050414680,Kabiro,-1.287524,36.748679,bus_station
osm:4487469611,Kabuagi,-1.316013,36.718244,station
osm:6274258897,Kagundo Road,-1.276670,37.017789,platform
osm:6959365885,Kahawa sukari,-1.188875,36.931477,bus_stop
osm:7645366387,Kahawa West,-1.185487,36.906786,bus_stop
osm:7645366388,Kahawa West,-1.186202,36.906849,bus_stop
osm:5552396288,Kaka Travellers Sacco,-1.283774,36.825422,bus_station
osm:7942847236,Kambi,-1.265842,36.855168,bus_stop
osm:2975791176,Kamenu Stage Makongeni,-1.059474,37.106515,bus_stop
osm:7174109430,Kampala,-1.238799,36.674972,platform
osm:7174109442,Kampala,-1.240250,36.675193,platform
osm:8338714154,Kamulu Stage,-1.282617,37.064478,platform
osm:12905326270,Kamuti-ini Bus stop,-1.229843,36.709793,platform
osm:12905326271,Kamuti-ini Bus stop,-1.229761,36.709868,platform
osm:12075947815,Kamutii-Ini,-1.234839,36.715046,bus_stop
osm:1746482162,Kangemi,-1.264026,36.747245,bus_stop
osm:1746482163,Kangemi,-1.264321,36.747931,bus_stop
osm:4740212824,Kanisani,-1.270687,36.913075,bus_stop
osm:5886553687,Kanisani,-1.278782,37.040129,bus_stop
osm:712916686,Karanja Stage,-1.309828,36.780309,bus_stop
osm:3519591081,Karen Bus Stop,-1.321927,36.707524,platform
osm:4934449673,Karen Campus,-1.353613,36.747123,bus_stop
osm:3519591084,Karen Hardy Bus Station,-1.323078,36.708018,platform
osm:5555074090,Karen/Hardy,-1.286098,36.825763,bus_station
osm:12133987509,Kariobangi South,-1.269377,36.887365,station
osm:10844057343,Karura/Runda,-1.220820,36.801360,platform
osm:558923025,Kawangware,-1.287781,36.741971,bus_stop
osm:8050414674,Kawangware Sokoni,-1.286474,36.745826,bus_station
osm:4740212822,Kayole 1,-1.262027,36.919566,platform
osm:5636724232,Kayole Hospital,-1.270264,36.919738,platform
osm:5636724262,Kayole Junction Ez,-1.257236,36.922792,station
osm:6216321645,Kcb Community,-1.329685,36.687175,station
osm:5378545277,KCB/Equity,-1.298746,36.812923,platform
osm:12121997047,Kemrif,-1.241856,36.893414,platform
osm:1537502919,Kencom,-1.285640,36.824990,bus_station
osm:10673606287,Kenyatta Market,-1.307489,36.802784,platform
osm:10673606286,Kenyatta Market Flyover,-1.306307,36.803270,platform
osm:3912657550,Kenyatta National Hospital Bus Stop,-1.300903,36.808598,platform
osm:6199038657,Kenyatta Road Stage,-1.124151,37.003410,bus_station
osm:6251534645,Kenyatta University Stage Bus Bay,-1.179808,36.939130,bus_station
osm:6216196498,Kephis Stage,-1.327567,36.691001,station
osm:10844057346,Kiambea,-1.198614,36.784122,platform
osm:5327776161,Kiambu Bus Stage,-1.168673,36.826347,bus_stop
osm:2488266134,Kianda Stage,-1.263954,36.758685,platform
osm:13924090576,Kibera,-1.305777,36.769666,station
osm:612011639,Kibera Ayany Bus Stop,-1.307852,36.772862,platform
osm:1831879014,Kibiria,-1.290516,36.728910,bus_stop
osm:10844057345,Kibutu Stage/Bread of Life,-1.188314,36.771234,platform
osm:13924437761,Kikuyu,-1.246166,36.660937,station
osm:4324883798,Kikuyu Bus Station,-1.242617,36.664789,bus_station
osm:2978942856,Kilimambogo Bus Station,-1.038386,37.081102,bus_station
osm:5552396286,Killeton Sacco,-1.282562,36.825144,bus_station
osm:3519605678,Kimbo Stage Bus Stop,-1.302414,36.752057,bus_stop
osm:3547038996,Kimuka matatu stop,-1.358449,36.599385,bus_stop
osm:12893741521,King'eero Bus Stop,-1.225470,36.706218,platform
osm:12905359642,King'eero Bus Stop,-1.225278,36.705840,platform
osm:12075947839,King'eero/Mwisho,-1.224966,36.705585,bus_stop
osm:5886553889,King'oris,-1.280729,37.056229,bus_stop
osm:1770676013,Kinoo Bus stop,-1.255244,36.694192,platform
osm:7174109446,Kinoo Bus stop,-1.255383,36.693785,platform
osm:5552396275,Kinoo/Kikuyu,-1.283667,36.825060,bus_station
osm:5886553886,Kipawa,-1.279359,37.046062,bus_stop
osm:12075947846,Kirawa Close,-1.240684,36.748833,bus_stop
osm:5327798363,Kirigiti Bus Stop,-1.172450,36.841817,bus_stop
osm:1239946724,Kiserian matatu station,-1.428404,36.686550,bus_stop
osm:5333186922,Kitale shuttles Co.,-1.288245,36.828823,bus_station
osm:9071589956,Kitengela,-1.489528,36.973002,station
osm:30157497,KMTC Bus Stop,-1.297551,36.804170,bus_stop
osm:10732771854,KNH/KMTC,-1.297480,36.805436,platform
osm:10844057344,Kobil Gigiri,-1.239407,36.811688,platform
osm:10832093295,Kobil/Regal house/6th Parklands ave,-1.257929,36.827080,platform
osm:1507591543,Koja,-1.280352,36.821729,platform
osm:12075903087,Koja,-1.280352,36.821729,platform
osm:3519412631,Kona Stage 46,-1.376573,36.676614,bus_stop
osm:5636724234,Kwa Chief,-1.271531,36.918848,bus_station
osm:5221207081,Kwa Chief Stage,-1.282801,36.959959,platform
osm:7942847238,Kwa Chief Stage,-1.262459,36.865713,bus_stop
osm:12886532072,Kwa Chiefs Stage,-1.287012,36.951385,bus_stop
osm:5636724258,Kwa D.O,-1.274677,36.910531,station
osm:6249063867,Kwa DO,-1.219464,36.903590,platform
osm:6249063868,Kwa DO,-1.219433,36.903813,platform
osm:10832093287,Kwa Jeki,-1.194574,36.779445,platform
osm:1717357041,Kwa Kairu Stage,-1.142084,36.967095,bus_station
osm:10844057364,Kwa Kanisa ACK/National Oil,-1.193291,36.777536,platform
osm:5961039485,Kwa maji,-1.270872,36.899794,platform
osm:4189401438,Kwa Mbao Stage,-1.261807,36.883930,bus_stop
osm:12121997045,Kwa Mosque,-1.240630,36.894714,platform
osm:8168780225,Kwa Ndege Matatu Stage,-1.305296,36.902159,platform
osm:3519412634,Kwa Nicholas Bus Stop1,-1.411750,36.687901,bus_stop
osm:10844057347,Kwa Njoki,-1.194099,36.778615,platform
osm:10844057365,Kwa Njoki Kamili,-1.184899,36.764492,platform
osm:10832126022,Kwa Njoki/Ack Thimbigwa,-1.183893,36.763636,platform
