sequence,lat,lon
245,-1.283085,37.083074
246,-1.283110,37.083344
247,-1.283183,37.083964
248,-1.283252,37.084570
249,-1.283316,37.084943
250,-1.283426,37.085831
251,-1.283504,37.086467
252,-1.283575,37.087038
253,-1.283734,37.088375
254,-1.283848,37.089338
255,-1.283912,37.089779
256,-1.283971,37.090293
257,-1.284015,37.090771
258,-1.284048,37.091182
259,-1.284074,37.091600
260,-1.284079,37.091671
261,-1.284105,37.092074
262,-1.284114,37.092741
263,-1.284112,37.092955
264,-1.284109,37.093520
265,-1.284069,37.093894
266,-1.284065,37.094157
267,-1.284043,37.094714
268,-1.283982,37.095016
269,-1.283942,37.095494
270,-1.283945,37.095924
271,-1.283917,37.096411
272,-1.283904,37.097042
273,-1.283887,37.097504
274,-1.283863,37.097957
275,-1.283840,37.098518
276,-1.283817,37.098885
277,-1.283773,37.099464
278,-1.283729,37.099878
279,-1.283673,37.100360
280,-1.283648,37.100597
281,-1.283582,37.101061
282,-1.283503,37.101599
283,-1.283453,37.101833
284,-1.283334,37.102380
285,-1.283303,37.102551
286,-1.283245,37.102819
287,-1.283055,37.103575
288,-1.282936,37.103971
289,-1.282823,37.104326
290,-1.282682,37.104744
291,-1.282551,37.105135
292,-1.282445,37.105455
293,-1.282334,37.105752
294,-1.282181,37.106160
295,-1.281989,37.106594
296,-1.281742,37.107151
297,-1.281395,37.107875
298,-1.281250,37.108167
299,-1.281052,37.108533
300,-1.280703,37.109152
301,-1.280595,37.109352
302,-1.280368,37.109767
303,-1.280058,37.110341
304,-1.279635,37.111111
305,-1.279406,37.111567
306,-1.279203,37.111995
307,-1.279114,37.112181
308,-1.278857,37.112746
309,-1.278744,37.113013
310,-1.278526,37.113599
311,-1.278381,37.113998
312,-1.278314,37.114186
313,-1.278145,37.114681
314,-1.278035,37.115008
315,-1.277941,37.115314
316,-1.277799,37.115818
317,-1.277660,37.116388
318,-1.277468,37.117190
319,-1.277442,37.117346
320,-1.277367,37.117846
321,-1.277323,37.118144
322,-1.277233,37.118771
323,-1.277134,37.119549
324,-1.277111,37.119929
325,-1.277094,37.120324
326,-1.277076,37.120750
327,-1.277056,37.121183
328,-1.277056,37.121257
329,-1.277052,37.121726
330,-1.277054,37.122164
331,-1.277072,37.122738
332,-1.277082,37.123013
333,-1.277091,37.123589
334,-1.277098,37.123825
335,-1.277095,37.124639
336,-1.277114,37.125347
337,-1.277122,37.126401
338,-1.277132,37.127051
339,-1.277136,37.127286
340,-1.277143,37.127611
341,-1.277157,37.128258
342,-1.277181,37.129455
343,-1.277221,37.131527
344,-1.277245,37.132292
345,-1.277245,37.133100
346,-1.277252,37.133700
347,-1.277272,37.134906
348,-1.277287,37.135404
349,-1.277303,37.135915
350,-1.277306,37.136434
351,-1.277315,37.136856
352,-1.277339,37.137429
353,-1.277357,37.137953
354,-1.277359,37.138016
355,-1.277395,37.138555
356,-1.277429,37.138857
357,-1.277511,37.139537
358,-1.277564,37.139923
359,-1.277623,37.140281
360,-1.277703,37.140809
361,-1.277797,37.141342
362,-1.277953,37.142064
363,-1.278145,37.142886
364,-1.278445,37.144073
365,-1.278532,37.144472
366,-1.278989,37.146345
367,-1.279263,37.147495
368,-1.279617,37.148936
369,-1.279761,37.149519
370,-1.280013,37.150558
371,-1.280160,37.151168
372,-1.280227,37.151445
373,-1.280568,37.152798
374,-1.280702,37.153431
375,-1.280814,37.153977
376,-1.280901,37.154441
377,-1.280997,37.154950
378,-1.281056,37.155294
379,-1.281201,37.156301
380,-1.281400,37.158072
381,-1.281542,37.159368
382,-1.281671,37.160594
383,-1.281769,37.161374
384,-1.281841,37.162163
385,-1.281894,37.162663
386,-1.281951,37.163104
387,-1.282028,37.163515
388,-1.282272,37.164789
389,-1.282344,37.165101
390,-1.282603,37.166134
391,-1.282958,37.167366
392,-1.283110,37.167876
393,-1.283409,37.168884
394,-1.283850,37.170392
395,-1.284158,37.171467
396,-1.284484,37.172522
397,-1.284666,37.173208
398,-1.284862,37.174005
399,-1.285060,37.174888
400,-1.285142,37.175397
401,-1.285228,37.175975
402,-1.285257,37.176178
403,-1.285305,37.176507
404,-1.285362,37.177049
405,-1.285466,37.178108
406,-1.285601,37.179545
407,-1.285623,37.179792
408,-1.285660,37.180156
409,-1.285712,37.180812
410,-1.285758,37.181353
411,-1.285825,37.182080
412,-1.285872,37.182619
413,-1.285921,37.183185
414,-1.285945,37.183489
415,-1.285970,37.183755
416,-1.286011,37.184286
417,-1.286045,37.184657
418,-1.286073,37.184936
419,-1.286101,37.185206
420,-1.286161,37.185852
421,-1.286199,37.186295
422,-1.286232,37.186642
423,-1.286245,37.186830
424,-1.286285,37.187292
425,-1.286334,37.187891
426,-1.286383,37.188395
427,-1.286434,37.188992
428,-1.286495,37.189693
429,-1.286558,37.190348
430,-1.286584,37.190584
431,-1.286624,37.191061
432,-1.286645,37.191286
433,-1.286698,37.191904
434,-1.286734,37.192406
435,-1.286796,37.193101
436,-1.286885,37.194104
437,-1.286943,37.194676
438,-1.287003,37.195111
439,-1.287074,37.195546
440,-1.287138,37.195918
441,-1.287247,37.196526
442,-1.287389,37.197182
443,-1.287502,37.197671
444,-1.287626,37.198185
445,-1.287710,37.198500
446,-1.287836,37.198951
447,-1.287911,37.199212
448,-1.288285,37.200477
449,-1.288583,37.201558
450,-1.288706,37.202003
451,-1.288851,37.202609
452,-1.288960,37.203071
453,-1.289056,37.203564
454,-1.289145,37.204045
455,-1.289364,37.205368
456,-1.289411,37.205651
457,-1.289626,37.206973
458,-1.289879,37.208487
459,-1.290135,37.209958
460,-1.290269,37.210720
461,-1.290417,37.211571
