sacco,permit_no,via_raw,via_points
FORWARD TRAVELLERS SACCO LTD,NTR-00202002041321020,"O.t.c, Jogoo rdUmojaKayoleMihangoEastern by pass, Ruiru",o t c|jogoo rdumojakayolemihangoeastern by pass|ruiru
FORWARD TRAVELLERS SACCO LTD,NTR-00202002041322540,"Kayole, KomarocksMowlemJuja rdEastleigh, Alsops",kayole|komarocksmowlemjuja rdeastleigh|alsops
FORWARD TRAVELLERS SACCO LTD,NTR-00202002041322120,"Malaa, KayoleJoskaKamuluRuaiSaikaMowlemjogooroad, Bus station",malaa|kayolejoskakamuluruaisaikamowlemjogooroad|bus station
FORWARD TRAVELLERS SACCO LTD,NTR-00202012161512240,"Kayole, Gikombe Alsops Mihango, Cabanas",kayole|gikombe alsops mihango|cabanas
FORWARD TRAVELLERS SACCO LTD,NTR-00202102051741120,"KANGEMA, MURANGA-THIKA-RUIRU-E BYPASS-KANGUNDO RD-JOGOO RD-JUJA RD-EASTLIEGH-GIKOMBA-ALSOLPS-NGARA-MFANGANO STREET-BUS STATION-MUTHURWA-KAYOLE-KOMAROCKS-UMOJA-MOWLEM-SAVVANNAH-CABANAS-UTAWALA-MIHANGO-TASSIA LINK RD-MALAA-MOMBASA RD-EMALI, LOITOKTOK",kangema|muranga thika ruiru e bypass kangundo rd jogoo rd juja rd eastliegh gikomba alsolps ngara mfangano street bus station muthurwa kayole komarocks umoja mowlem savvannah cabanas utawala mihango tassia link rd malaa mombasa rd emali|loitoktok
FORWARD TRAVELLERS SACCO LTD,NTR-00202211180859400,"Voi, Ikutha Kibwezi Mwingi Mutomo Kitui Makueni Kilimambogo Nairobi Narok Kisii Nyamira Kisumu Siaya, Bungoma",voi|ikutha kibwezi mwingi mutomo kitui makueni kilimambogo nairobi narok kisii nyamira kisumu siaya|bungoma
FORWARD TRAVELLERS SACCO LTD,NTR-00206,"kayole, umoja, outering, juja road, gikomba",kayole|umoja|outering|juja road|gikomba
FORWARD TRAVELLERS SACCO LTD,NTR-00207,"kayole, mihango, eastern bypass, juja road, bus station",kayole|mihango|eastern bypass|juja road|bus station
FORWARD TRAVELLERS SACCO LTD,NTR-0052,"kayole, umoja,outering,juja road, gikomba",kayole|umoja|outering|juja road|gikomba
FORWARD TRAVELLERS SACCO LTD,NTR-0048,"kayole, juja road,eastleigh, gikomba",kayole|juja road|eastleigh|gikomba
FORWARD TRAVELLERS SACCO LTD,NTR-0049,"kayole, juja road,muthurwa,otc, bustation",kayole|juja road|muthurwa|otc|bustation
FORWARD TRAVELLERS SACCO LTD,ADR-O68IMM7,"Malaa, KayoleJoskaKamuluRuaiSaikaMowlemKariobangiGikomba, Bus station",malaa|kayolejoskakamuluruaisaikamowlemkariobangigikomba|bus station
FORWARD TRAVELLERS SACCO LTD,ADR-6DBS997,"Nairobi, ThikaMuranga, Kangema",nairobi|thikamuranga|kangema
FORWARD TRAVELLERS SACCO LTD,ADR-WZ9SEEJ,"OTC, Jogoo rd Donholm Umoja Kayole Mihango Eastern Bypass, Ruiru",otc|jogoo rd donholm umoja kayole mihango eastern bypass|ruiru
FORWARD TRAVELLERS SACCO LTD,ADR-537HBOV,"Kangema, Muranga Thika Ruiru Estern Bypass Kangundo Rd Jogoo Rd Juja Rd Gikomba Alsops Ngara Mfangano Street Bus station Kayole Komarock Rd Umoja Morlem Savannah Cabanas Utawala-Mihango Northern Bypass Tassia Rd Malaa Mombasa Rd Mwiki Mwihoko Katani Emali Loitoktok, Nyahururu",kangema|muranga thika ruiru estern bypass kangundo rd jogoo rd juja rd gikomba alsops ngara mfangano street bus station kayole komarock rd umoja morlem savannah cabanas utawala mihango northern bypass tassia rd malaa mombasa rd mwiki mwihoko katani emali loitoktok|nyahururu
FORWARD TRAVELLERS SACCO LTD,ADR-A5ACK7E,"kayole, juja road, eastern bypass, bus station",kayole|juja road|eastern bypass|bus station
FORWARD TRAVELLERS SACCO LTD,ADR-9AKFJWV,"kayole, jogoo road, muthurwa, otc, mfangano",kayole|jogoo road|muthurwa|otc|mfangano
FORWARD TRAVELLERS SACCO LTD,ADR-DB3TY3L,"nairobi, emali, loitoktok, taveta",nairobi|emali|loitoktok|taveta
FORWARD TRAVELLERS SACCO LTD,ADR-3ZQSJAZ,"kayole, mfangano,jogoo road, muthurwa, otc",kayole|mfangano|jogoo road|muthurwa|otc
FORWARD TRAVELLERS SACCO LTD,ADR-JY7SZ3B,"kayole, gikomba,umoja,outering, juja road",kayole|gikomba|umoja|outering|juja road
FORWARD TRAVELLERS SACCO LTD,ADR-POKSYOW,"kayole, bus station,mihango, eastern bypass, juja road",kayole|bus station|mihango|eastern bypass|juja road
FORWARD TRAVELLERS SACCO LTD,ADR-VYASWL7,"kayole, gikomba,umoja, outering, juja road",kayole|gikomba|umoja|outering|juja road
FORWARD TRAVELLERS SACCO LTD,ADR-Q5LC865,"kayole, bus station,juja road, eastern bypass",kayole|bus station|juja road|eastern bypass
FORWARD TRAVELLERS SACCO LTD,ADR-EPJSEY7,"nairobi, taveta,emali, oloitoktok",nairobi|taveta|emali|oloitoktok
FORWARD TRAVELLERS SACCO LTD,ADR-2DVSR5D,"bus station, jogoo road, kayole, utawala",bus station|jogoo road|kayole|utawala
FORWARD TRAVELLERS SACCO LTD,ADR-K9BF6VE,"nairobi, thika, muranga",nairobi|thika|muranga
FORWARD TRAVELLERS SACCO LTD,ADR-7WRS9Z9,"kayole, jogoo road, otc",kayole|jogoo road|otc
FORWARD TRAVELLERS SACCO LTD,ADR-BQ9SQ33,"kayole, mfangano street, otc",kayole|mfangano street|otc
FORWARD TRAVELLERS SACCO LTD,ADR-REOSZLO,"kayole, gikomba,allsops,, juja road",kayole|gikomba|allsops|juja road
FORWARD TRAVELLERS SACCO LTD,ADR-MDMSJAQ,"kayole, otc,kangundo,tala, jogoo road",kayole|otc|kangundo|tala|jogoo road
FORWARD TRAVELLERS SACCO LTD,ADR-YM3SBE5,"nairobi, taveta,emali, loitoktok",nairobi|taveta|emali|loitoktok
FORWARD TRAVELLERS SACCO LTD,ADR-8LMSYVK,"kayole, komarocksmolemjuja road, eastleigh",kayole|komarocksmolemjuja road|eastleigh
FORWARD TRAVELLERS SACCO LTD,ADR-ZZJSJ2A,"kayole, gikomba,juja road, eastleigh",kayole|gikomba|juja road|eastleigh
FORWARD TRAVELLERS SACCO LTD,ADR-2DVSR5M,"bus station, muthurwa, jogoo road, kayole, eastern bypass, utawala",bus station|muthurwa|jogoo road|kayole|eastern bypass|utawala
FORWARD TRAVELLERS SACCO LTD,ADR-K9BF6V8,"kariobangi south, outering road, thika road, gikomba, commercial",kariobangi south|outering road|thika road|gikomba|commercial
FORWARD TRAVELLERS SACCO LTD,ADR-7WRS9ZW,"kayole, gikomba, juja road",kayole|gikomba|juja road
FORWARD TRAVELLERS SACCO LTD,ADR-BQ9SQ3A,"otc, jogoo rd, kayole, mihango, eastern bypass, ruiru underpass",otc|jogoo rd|kayole|mihango|eastern bypass|ruiru underpass
FOURTY FOUR OWNERS COMPANY LIMITED,NTR-00201901151029270,"tom mboya, zimmerman,githurai,kahawa west,ruiru,juja,thika road, makongenithika",tom mboya|zimmerman|githurai|kahawa west|ruiru|juja|thika road|makongenithika
FOURTY FOUR OWNERS COMPANY LIMITED,NTR-00202103091438110,"Commercial, Alsops Outering rd Juja rd Jogoo rd Kangundo rd Eastleigh Gikomba Thika rd Githurai Kahawa west Bypass Ruiru, Thika(makongeni)",commercial|alsops outering rd juja rd jogoo rd kangundo rd eastleigh gikomba thika rd githurai kahawa west bypass ruiru|thika makongeni
FOURTY FOUR OWNERS COMPANY LIMITED,NTR-0066,"commercial, zimmerman,kahawa west, githurai",commercial|zimmerman|kahawa west|githurai
FOURTY FOUR OWNERS COMPANY LIMITED,NTR-00201909171049330,"commercial, thika rd,githurai,kahawa west,bypass,ruiru, thika (makongeni)",commercial|thika rd|githurai|kahawa west|bypass|ruiru|thika makongeni
FOURTY FOUR OWNERS COMPANY LIMITED,ADR-YM3SB85,"commercial, gikombajuja rd eastleigh jogoo rd kangundo rdoutering rd thka rd alsops githurai kahawa westbypass ruiru kahawa sukari kahawa wendanimwihoko, thika(makongeni)",commercial|gikombajuja rd eastleigh jogoo rd kangundo rdoutering rd thka rd alsops githurai kahawa westbypass ruiru kahawa sukari kahawa wendanimwihoko|thika makongeni
FOURTY FOUR OWNERS COMPANY LIMITED,ADR-8LMSYMK,"tom mboya, thika road, githurai, ruiru",tom mboya|thika road|githurai|ruiru
FOURTY FOUR OWNERS COMPANY LIMITED,ADR-ZZJSJLA,"commercial, githurai,zimmerman, kahawa west",commercial|githurai|zimmerman|kahawa west
FOURTY FOUR OWNERS COMPANY LIMITED,ADR-LZRS7E5,"tom mboya, thika road, githurai 44, bypass, ruiru",tom mboya|thika road|githurai 44|bypass|ruiru
FOURTY FOUR OWNERS COMPANY LIMITED,ADR-O68IMO7,"ronald ngala, kahawa west, zimmerman",ronald ngala|kahawa west|zimmerman
GARAMU TRAVEL SOLUTIONS LIMITED,NTR-00201908300830460,"Railways, Ngong rdHurlinghamYayaKorosho/MbaaziKawangwareRiruta sateliteWaithakaDagoretti MarketKikuyuKarenNgong Langata Kibera Kileleshwa Lavington Uthiru, Wangige",railways|ngong rdhurlinghamyayakorosho/mbaazikawangwareriruta satelitewaithakadagoretti marketkikuyukarenngong langata kibera kileleshwa lavington uthiru|wangige
GARAMU TRAVEL SOLUTIONS LIMITED,NTR-00202101201303380,"Ngong, Karen Dagoretti corner Kawangware Kikuyu Wangige, Limuru",ngong|karen dagoretti corner kawangware kikuyu wangige|limuru
GARAMU TRAVEL SOLUTIONS LIMITED,ADR-8LMS5QE,"railways, ngong rd,hurlingham,yaya,korosho/mbaazi,kawanware,riruta satelite,waithaka,dagoretti market, kikuyu",railways|ngong rd|hurlingham|yaya|korosho/mbaazi|kawanware|riruta satelite|waithaka|dagoretti market|kikuyu
GARAMU TRAVEL SOLUTIONS LIMITED,ADR-ZZJSVOR,"railways, ngong rd,hurlingham,yaya,korosho/mbaazi,kawangware,riruta satelite,waithaka,dagoretti market, kikuyu",railways|ngong rd|hurlingham|yaya|korosho/mbaazi|kawangware|riruta satelite|waithaka|dagoretti market|kikuyu
GATANGA SHUTTLE LIMITED,NTR-00414,"Nairobi, Thika Nyokanyoka Rd Muranga Kangema Nyeri Nanyuki Nyahururu Nakuru Naivasha Njabini Olkalou Maumau Rd, Mugoiri",nairobi|thika nyokanyoka rd muranga kangema nyeri nanyuki nyahururu nakuru naivasha njabini olkalou maumau rd|mugoiri
GATANGA SHUTTLE LIMITED,NTR-00183,"nairobi, thika nyeri nyahururu, nakuru",nairobi|thika nyeri nyahururu|nakuru
GATANGA SHUTTLE LIMITED,NTR-00236,"nairobi, thika,nyeri,nyahururu, nakuru",nairobi|thika|nyeri|nyahururu|nakuru
GATANGA SHUTTLE LIMITED,NTR-00142,"nairobi, thika road,thika, nyeri",nairobi|thika road|thika|nyeri
GATANGA SHUTTLE LIMITED,ADR-VYASAD8,"nairobi, nakuru, thika nyeri nyahururu",nairobi|nakuru|thika nyeri nyahururu
GATANGA SHUTTLE LIMITED,ADR-Q5LCLD9,"nairobi, thika, nyeri, nyahururu, nakuru",nairobi|thika|nyeri|nyahururu|nakuru
GATANGA TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,NTR-00183,"nairobi, thika nyeri nyahururu, nakuru",nairobi|thika nyeri nyahururu|nakuru
GATANGA TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,NTR-00236,"nairobi, thika,nyeri,nyahururu, nakuru",nairobi|thika|nyeri|nyahururu|nakuru
GATANGA TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,NTR-00250,"nairobi, nakuru, nyahururu",nairobi|nakuru|nyahururu
GATANGA TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,ADR-WZ9SWJP,"nairobi, thika, nyeri, nyahururu, nakuru",nairobi|thika|nyeri|nyahururu|nakuru
GATANGA TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,ADR-537H6AJ,"nairobi, nakuru, thika nyeri nyahururu",nairobi|nakuru|thika nyeri nyahururu
GATHIMA TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY.,NTR-00201911141534530,"Thika, Thika rdJujaGatunduKangoo, Kamwangi",thika|thika rdjujagatundukangoo|kamwangi
GATHIMA TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY.,ADR-537HORO,"thika, gatundu, kiambu",thika|gatundu|kiambu
GATHIMA TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY.,ADR-A5AC7R8,"thika, kiambu, gatundu",thika|kiambu|gatundu
GEOBEAT MAOKA TRAVELLERS LIMITED,NTR-00202010291101240,"Alsops, lLucky SummerBaba Dogo Outering rd via Rabai rd Makadara City Stadium Kangundo rd, Koma bus Park",alsops|llucky summerbaba dogo outering rd via rabai rd makadara city stadium kangundo rd|koma bus park
GEOBEAT MAOKA TRAVELLERS LIMITED,ADR-EPJSRP5,"Allsops, Outering road,Mumias rd,Makadara, City Stadium",allsops|outering road|mumias rd|makadara|city stadium
GEOBEAT MAOKA TRAVELLERS LIMITED,ADR-2DVSDQ3,"Ngara, Juja Rd Outering Rd Eastern Bypass Cabanas Mombasa Rd GM Lusaka Rd City Stadium Jogoo Rd Makadara via Rabai Rd Lucky Summer, Muthurwa",ngara|juja rd outering rd eastern bypass cabanas mombasa rd gm lusaka rd city stadium jogoo rd makadara via rabai rd lucky summer|muthurwa
GEOBEAT MAOKA TRAVELLERS LIMITED,ADR-K9BFZAY,"Ngara, Juja Rd Outering Rd Eastern Bypass Cabanas Mombasa Rd GM Lusaka Rd City Stadium Jogoo Rd Makadara via Rabai Rd Lucky Summer, Muthurwa",ngara|juja rd outering rd eastern bypass cabanas mombasa rd gm lusaka rd city stadium jogoo rd makadara via rabai rd lucky summer|muthurwa
GEOBEAT MAOKA TRAVELLERS LIMITED,ADR-7WRSOQO,"Ngara, Juja Rd Outering Rd Eastern Bypass Cabanas Mombasa Rd GM Lusaka Rd City Stadium Jogoo Rd Makadara via Rabai Rd Lucky Summer, Muthurwa",ngara|juja rd outering rd eastern bypass cabanas mombasa rd gm lusaka rd city stadium jogoo rd makadara via rabai rd lucky summer|muthurwa
GEOBEAT MAOKA TRAVELLERS LIMITED,ADR-BQ9SMK7,"Ngara, Juja Rd Outering Rd Eastern Bypass Cabanas Mombasa Rd GM Lusaka Rd City Stadium Jogoo Rd Makadara via Rabai Rd Lucky Summer, Muthurwa",ngara|juja rd outering rd eastern bypass cabanas mombasa rd gm lusaka rd city stadium jogoo rd makadara via rabai rd lucky summer|muthurwa
GIKAKI SACCO SOCIETY LIMITED,NTR-00813,"Githunguri, Kagwe Kimende Limuru uplands kwamaiko ruiru, nyanduma",githunguri|kagwe kimende limuru uplands kwamaiko ruiru|nyanduma
GIKAKI SACCO SOCIETY LIMITED,NTR-00202211011816190,"Githunguri, Kagwe Kimende Limuru Uplands Kwa Maiko Ruiru Nyanduma Kibichoi Gathugu Gachika Gatundu Thika Mai-Mahiu, Naivasha",githunguri|kagwe kimende limuru uplands kwa maiko ruiru nyanduma kibichoi gathugu gachika gatundu thika mai mahiu|naivasha
GIKAKI SACCO SOCIETY LIMITED,ADR-O68I2YK,"githunguri, kagwe, kimende, ruiru",githunguri|kagwe|kimende|ruiru
GIKAKI SACCO SOCIETY LIMITED,ADR-6DBS8ER,"githunguri, kagwe, kimende",githunguri|kagwe|kimende
GIKAKI SACCO SOCIETY LIMITED,ADR-WZ9SL7Y,"githunguri, kagwe,kimende,nyanduma, ruiru",githunguri|kagwe|kimende|nyanduma|ruiru
GIKAKURU TRAVELLERS SACCO,NTR-00820,"githurai 45, mwihoko eastern bypass ruiru githunguri limuru kimende kijabe hospital wangige kiambu, kahawa west",githurai 45|mwihoko eastern bypass ruiru githunguri limuru kimende kijabe hospital wangige kiambu|kahawa west
GIKAKURU TRAVELLERS SACCO,ADR-537HQP8,"githurabypass, ku referral hospital,ruiru,thika, gatuanyanga",githurabypass|ku referral hospital|ruiru|thika|gatuanyanga
GIKIMWI BYPASS TRANSPORTERS SACCO,NTR-001337,"githurai, mumbi, mwihoko",githurai|mumbi|mwihoko
GIKIMWI BYPASS TRANSPORTERS SACCO,NTR-00201905161413340,"githurai, mumbi,mwihoko,kahawa sukari,ruiru, makongenithika",githurai|mumbi|mwihoko|kahawa sukari|ruiru|makongenithika
GIKIMWI BYPASS TRANSPORTERS SACCO,ADR-WZ9SVAQ,"githurai, mwihoko, kahawa sukari, bypass, ruiru",githurai|mwihoko|kahawa sukari|bypass|ruiru
GINYALI COOPERATIVE SAVINGS & CREDIT SOCIETY LTD,NTR-00202101211540210,"Thika(Makongeni), Ruiru Githunguri Githiga Limuru via Kabuku Ngecha Kikuyu via Kamandura Naivasha, Nakuru",thika makongeni|ruiru githunguri githiga limuru via kabuku ngecha kikuyu via kamandura naivasha|nakuru
GINYALI COOPERATIVE SAVINGS & CREDIT SOCIETY LTD,NTR-00828,"Thika(makongeni), Ruiru kiambu githiga githunguri kagwe via gatundu mau mau rd matimbei kagaa mathanja gatina limuru kimende matathia kijabe maimahiu naivasha via njabini engineer nyahururu, nakuru",thika makongeni|ruiru kiambu githiga githunguri kagwe via gatundu mau mau rd matimbei kagaa mathanja gatina limuru kimende matathia kijabe maimahiu naivasha via njabini engineer nyahururu|nakuru
GINYALI COOPERATIVE SAVINGS & CREDIT SOCIETY LTD,NTR-0088,"githunguri, kambaa,kagaa,kimende,limuru,naivasha, nakuru",githunguri|kambaa|kagaa|kimende|limuru|naivasha|nakuru
GINYALI COOPERATIVE SAVINGS & CREDIT SOCIETY LTD,NTR-00201909161408460,"thika(makongeni), ruiru,githunguri,kambaa,kagaa,kimende,limuru,naivasha, nakuru",thika makongeni|ruiru|githunguri|kambaa|kagaa|kimende|limuru|naivasha|nakuru
GINYALI COOPERATIVE SAVINGS & CREDIT SOCIETY LTD,ADR-VYASAV2,"Thika(Makongeni), Ruiru Githunguri Githiga Limuru via Kabuku Ngecha Kikiyu via Kamandura Naivasha, Nakuru",thika makongeni|ruiru githunguri githiga limuru via kabuku ngecha kikiyu via kamandura naivasha|nakuru
GINYALI COOPERATIVE SAVINGS & CREDIT SOCIETY LTD,ADR-Q5LCLYD,"nairobi, githunguri,nyambari,limuru, naivasha",nairobi|githunguri|nyambari|limuru|naivasha
GINYALI COOPERATIVE SAVINGS & CREDIT SOCIETY LTD,ADR-EPJSJA5,"nairobi, guthunguri, kambaa, kagaa, kimende, limuru, naivasha, nakuru",nairobi|guthunguri|kambaa|kagaa|kimende|limuru|naivasha|nakuru
GINYALI COOPERATIVE SAVINGS & CREDIT SOCIETY LTD,ADR-2DVSBZ3,"githunguri, nakuru,kambaa,kagaa,kimende,limuru, naivasha",githunguri|nakuru|kambaa|kagaa|kimende|limuru|naivasha
GITHIGA TRAVELLERS SACCO,NTR-00201902261346190,"ngara, kiambu,githiga,githunguri,limuru, nakuru",ngara|kiambu|githiga|githunguri|limuru|nakuru
GITHIGA TRAVELLERS SACCO,ADR-A5ACLDJ,"St peters, GithunguriLimuru, Nakuru",st peters|githungurilimuru|nakuru
GITHIGA TRAVELLERS SACCO,ADR-9AKFAEY,"St peters, kiambugithiga Githunguri kambaa via uplands nyambari Limuru, Nakuru",st peters|kiambugithiga githunguri kambaa via uplands nyambari limuru|nakuru
GITHIGA TRAVELLERS SACCO,ADR-DB3TB99,"st.peters, kiambu, limuru, githuguri",st peters|kiambu|limuru|githuguri
GITHIGA TRAVELLERS SACCO,ADR-3ZQSJDD,"st.peters, githiga, githunguri, limuru",st peters|githiga|githunguri|limuru
GITHIGA TRAVELLERS SACCO,ADR-JY7SZYO,"tommboya, githunguri,kiambu road, kiambu",tommboya|githunguri|kiambu road|kiambu
GITHIGA TRAVELLERS SACCO,ADR-POKSY2B,"st.peters, githuguri,kiambu, limuru",st peters|githuguri|kiambu|limuru
GITHIGA TRAVELLERS SACCO,ADR-VYASWYR,"st peters, githunguri, kiambu",st peters|githunguri|kiambu
GITHIGA TRAVELLERS SACCO,ADR-Q5LC827,"st peters, kiambu, githunguri",st peters|kiambu|githunguri
GITHIGA TRAVELLERS SACCO,ADR-EPJSEMV,"ngara, kiambu,githiga,githunguri, limuru",ngara|kiambu|githiga|githunguri|limuru
GITHURAI 45 SACCO,NTR-00415,"ronald ngara, thika road, githurai",ronald ngara|thika road|githurai
GITHURAI 45 SACCO,NTR-00202102161130010,"Ronald Ngala, Thika rd Outering rd Juja rd Cabanas Eastern bypass Ruai Mwihoko Githurai Thika(Makongeni), Mwingi",ronald ngala|thika rd outering rd juja rd cabanas eastern bypass ruai mwihoko githurai thika makongeni|mwingi
GITHURAI 45 SACCO,ADR-537HYWR,"nairobi, thika road, githurai, mwingi",nairobi|thika road|githurai|mwingi
GITHURAI 45 SACCO,ADR-A5AC286,"ronald ngala, githurai, mwingi",ronald ngala|githurai|mwingi
GITHURAI 45 SACCO,ADR-9AKFOR5,"ronald ngala, mwingi, githurai",ronald ngala|mwingi|githurai
GITHURAI 45 SACCO,ADR-DB3TQOD,"nairobi, mwingi,thika road, githurai",nairobi|mwingi|thika road|githurai
GITHURAI 45 SACCO,ADR-3ZQSO23,"railways, mwingi,thika road, githurai",railways|mwingi|thika road|githurai
GITHURAI 45 SACCO,ADR-JY7SE7Q,"ronald ngara, githurai, thika road",ronald ngara|githurai|thika road
GITHURAI 45 SACCO,ADR-POKS7KY,"ronald ngala, thika road,githurai, thika (makongeni)",ronald ngala|thika road|githurai|thika makongeni
GIWA SAVINGS AND CREDIT COOPERATIVE SOCIETY LIMITED,ADR-7WRSOLM,"Wangige, GikuniGathiga, St mathews",wangige|gikunigathiga|st mathews
GIWA SAVINGS AND CREDIT COOPERATIVE SOCIETY LIMITED,ADR-BQ9SM8B,"Wangige, Gikuni Gathiga St mathews ngecha mwamto kikuyu dagoretti kamangu limurukahuho gachie, river lori",wangige|gikuni gathiga st mathews ngecha mwamto kikuyu dagoretti kamangu limurukahuho gachie|river lori
GMK SACCO LIMITED,NTR-00202009021508060,"Nyeri, KaratinaEmbuMurangaKiriainiNgara(NRB), Voi",nyeri|karatinaembumurangakiriainingara nrb|voi
GMK SACCO LIMITED,NTR-00202202241345360,"Ngara, Outering Rd Kayole Eastern Bypass Kangundo Rd Ruai Northern Bypass Mwihoko via Thika Muranga Karatina Kiriaini NyeriEmbu, Voi",ngara|outering rd kayole eastern bypass kangundo rd ruai northern bypass mwihoko via thika muranga karatina kiriaini nyeriembu|voi
GMK SACCO LIMITED,ADR-LZRSW7B,"ngara, ruai outering rd northern bypass mwihoko via thika muranga karatina kiriaini nyeri embu, voi",ngara|ruai outering rd northern bypass mwihoko via thika muranga karatina kiriaini nyeri embu|voi
GMK SACCO LIMITED,ADR-O68I2MZ,"githurai, muranga, kiriaini , ADR-6DBS896- ngara, muranga,kiriaini,nyeri, karatina",githurai|muranga|kiriaini|adr 6dbs896 ngara|muranga|kiriaini|nyeri|karatina
GUCHA EXPRESS LIMITED,NTR-00202101261102060,"Railways, Mlolongo Kitengela, Machakos",railways|mlolongo kitengela|machakos
GUCHA EXPRESS LIMITED,ADR-LZRS6J7,"Railways, Jogoo Rd Outering Rd Kangundo Rd Ruai Katani Mlolongo Kitengela\tMachakos, Isinya",railways|jogoo rd outering rd kangundo rd ruai katani mlolongo kitengela tmachakos|isinya
HANNOVER SWIFT TRANS LIMITED,NTR-0025,"Kikuyu, Waiyaki Way,Westlands,Tom Mboya,Thika road, Kasarani , Mwiki",kikuyu|waiyaki way|westlands|tom mboya|thika road|kasarani|mwiki
HANNOVER SWIFT TRANS LIMITED,NTR-00749,"Kikuyu, Waiyaki Way Westlands Tom Mboya Thika Rd Kasarani Mwiki Komarock |Kangundo Rd Ruai Outering Rd Donholm Juja Rd GPO Kabiria Dagoreti Kamangu Limuru Kiambu Ruiru Thika, Makongeni",kikuyu|waiyaki way westlands tom mboya thika rd kasarani mwiki komarock kangundo rd ruai outering rd donholm juja rd gpo kabiria dagoreti kamangu limuru kiambu ruiru thika|makongeni
HIGHRISE KIBERA SACCO,NTR-00202110191626020,"Bus Station, enterprise rd via lusaka langata rd highrise upperhill memorial link rd KNH community valley rd soweto sunday studio silanga, yaya centre via ngong rd",bus station|enterprise rd via lusaka langata rd highrise upperhill memorial link rd knh community valley rd soweto sunday studio silanga|yaya centre via ngong rd
HIGHRISE KIBERA SACCO,ADR-9AKFJ77,"bus station, nyayo, highrise, knh, kibera",bus station|nyayo|highrise|knh|kibera
HIGHRISE KIBERA SACCO,ADR-DB3TYAM,"bus station, kibera,nyayo, highrise, knh",bus station|kibera|nyayo|highrise|knh
HOME SACCO LIMITED,NTR-00471,"Limuru, Ngecha, Uplands",limuru|ngecha|uplands
HOME SACCO LIMITED,NTR-00201807271239220,"Wangige, Kikuyu Gachie Gathiga Ruaka Kiambu Ruiru, Kenol",wangige|kikuyu gachie gathiga ruaka kiambu ruiru|kenol
HOME SACCO LIMITED,NTR-00202001071446410,"Khoja, Westlands Wangige Peponi Rd Ngecha Limuru Uplands Kikuyu Gachie Gathiga Ruaka Kiambu Ruiru, Kenol",khoja|westlands wangige peponi rd ngecha limuru uplands kikuyu gachie gathiga ruaka kiambu ruiru|kenol
HOME SACCO LIMITED,ADR-MDMSQ73,"khoja, westlands,wangige,ngecha, peponi rd",khoja|westlands|wangige|ngecha|peponi rd
HOME SACCO LIMITED,ADR-YM3S6DR,"khoja, westlands, wangige",khoja|westlands|wangige
HOME SACCO LIMITED,ADR-8LMSEZM,"odeon, thome, thika road",odeon|thome|thika road
HOME SACCO LIMITED,ADR-ZZJSQAV,"khoja, wangige, westlands",khoja|wangige|westlands
HOME SACCO LIMITED,ADR-LZRSWMO,"khoja, peponi rd,westlands,wangige, ngecha",khoja|peponi rd|westlands|wangige|ngecha
HURUMA MINI-BUS SACCO LTD,NTR-00202012151628260,"City cabanas via outering rd, Kangundo rd Thika rd Mombasa rd, Eastleigh",city cabanas via outering rd|kangundo rd thika rd mombasa rd|eastleigh
HURUMA MINI-BUS SACCO LTD,ADR-REOSZB2,"huruma, pangani,kariokor, tusker",huruma|pangani|kariokor|tusker
Inagi Travellers Sacco,NTR-00202003111620510,"Githunguri, NairobiMachakos via outering rd, Kitui",githunguri|nairobimachakos via outering rd|kitui
Inagi Travellers Sacco,NTR-00385,"githunguri, nairobi, nakuru",githunguri|nairobi|nakuru
Inagi Travellers Sacco,ADR-A5ACPED,"Githunguri, NairobiMachakos, Kitui",githunguri|nairobimachakos|kitui
Inagi Travellers Sacco,ADR-9AKF2VP,"githunguri, nakuru, nairobi",githunguri|nakuru|nairobi
INDIMA (NJE) SACCO,NTR-00487,"Bus station, Mombasa roadLusaka road Industrial AreaKwa Njenga Outering rd Kangundo rd Ruai, Kamulu",bus station|mombasa roadlusaka road industrial areakwa njenga outering rd kangundo rd ruai|kamulu
INDIMA (NJE) SACCO,NTR-00563,"bus station, lusaka road,enterprise road,industrial area,general motors, mukuru kwa njenga",bus station|lusaka road|enterprise road|industrial area|general motors|mukuru kwa njenga
INDIMA (NJE) SACCO,NTR-0017,"Bus station, muthurwa mombasa rd lusaka rd industrial area enterprise rd likoni rd imara daima kwa njenga jogoo rd outering rd kangundo rd ruai kamulu eastern bypass, alsops",bus station|muthurwa mombasa rd lusaka rd industrial area enterprise rd likoni rd imara daima kwa njenga jogoo rd outering rd kangundo rd ruai kamulu eastern bypass|alsops
INDIMA (NJE) SACCO,NTR-00202203171440590,"Bus Station, Mombasa Rd Syokimau Athi River, Kitengela",bus station|mombasa rd syokimau athi river|kitengela
