sacco,permit_no,via_raw,via_points
61 BUS LIMITED,ADR-7WRSODM,"Bus station, Muthurwa, Jogoo road, Kayole, Eastern bypass, Utawala, City cabanas",bus station|muthurwa|jogoo road|kayole|eastern bypass|utawala|city cabanas
8B SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,NTR-00202101181143450,"Fig tree, Thika rd Kariokor Gikomba Juja rd Eastleigh KiambiuJericho Jogoo rd Buruburu Outering rd Donholm(caltex) Cabanas Likoni rd Lungalunga rd Kariobangi south, Kangundo rd",fig tree|thika rd kariokor gikomba juja rd eastleigh kiambiujericho jogoo rd buruburu outering rd donholm caltex cabanas likoni rd lungalunga rd kariobangi south|kangundo rd
8B SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,NTR-00201909131211180,"kariokor, gikomba,eastleigh,jericho,buruburu,outering rd,donholm(caltex), cabanas",kariokor|gikomba|eastleigh|jericho|buruburu|outering rd|donholm caltex|cabanas
8B SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,ADR-POKSKYO,"jericho, eastleigh, kariokor, gikomba",jericho|eastleigh|kariokor|gikomba
8B SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,ADR-VYASAWA,"jericho, gikomba,eastleigh section3, kariokor",jericho|gikomba|eastleigh section3|kariokor
8B SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,ADR-Q5LCL8B,"jericho, gikomba,eastleigh, kariokor",jericho|gikomba|eastleigh|kariokor
ALDANA SUPREME SERVICES LIMITED,NTR-00202008111559300,"Saika, Dandora Outering road Thika road, Thika",saika|dandora outering road thika road|thika
ALDANA SUPREME SERVICES LIMITED,NTR-00202108060811330,"Malaa, ruai dandora outering rd cabanas juja rd kariokor ngara thika rd mwihoko eastern bypass ruiru gatundu juja thika, Muranga",malaa|ruai dandora outering rd cabanas juja rd kariokor ngara thika rd mwihoko eastern bypass ruiru gatundu juja thika|muranga
ALDANA TRAVELLERS SACCO,NTR-00202003241145200,"Ronald ngala, Juja rdDandoraKariobangiAlsops Thika rd, Thika",ronald ngala|juja rddandorakariobangialsops thika rd|thika
ALDANA TRAVELLERS SACCO,NTR-00418,"Ronald Ngala, Ngara Juja Rd Outering Rd Kangundo Rd Dandora Kariobangi Asops Thika Rd Thika, Nyeri",ronald ngala|ngara juja rd outering rd kangundo rd dandora kariobangi asops thika rd thika|nyeri
ALDANA TRAVELLERS SACCO,NTR-00337,"ronald ngara, juja road, dandora",ronald ngara|juja road|dandora
ALDANA TRAVELLERS SACCO,NTR-00360,"dandora, kariobangi, alsolps",dandora|kariobangi|alsolps
ALDANA TRAVELLERS SACCO,NTR-00201909131231540,"dandora, kariobangi,alsops,thika rd, thika",dandora|kariobangi|alsops|thika rd|thika
ALDANA TRAVELLERS SACCO,ADR-2DVSRKQ,"dandora, juja road, ronald ngala",dandora|juja road|ronald ngala
ALDANA TRAVELLERS SACCO,ADR-K9BF6RK,"ronald ngara, dandora, juja road",ronald ngara|dandora|juja road
ALDANA TRAVELLERS SACCO,ADR-7WRS9DE,"dandora, alsolps, kariobangi",dandora|alsolps|kariobangi
ALDANA TRAVELLERS SACCO,ADR-BQ9SQJ9,"dandora, juja road,kariokor, gikomba",dandora|juja road|kariokor|gikomba
ARBAB VENTURES LIMITED,NTR-00201905131607200,"South c, iindustrial arealikoni rdjogoo rdeastleighoutering rd mombasa rd, machakos",south c|iindustrial arealikoni rdjogoo rdeastleighoutering rd mombasa rd|machakos
ARBAB VENTURES LIMITED,ADR-JY7SLOJ,"South c, South bLikoni rdindustrial areaeastleighjogoo rdoutering rddonholmfedha, machakos",south c|south blikoni rdindustrial areaeastleighjogoo rdoutering rddonholmfedha|machakos
ARBAB VENTURES LIMITED,ADR-POKSRLV,"Machakos, SyokimauImara daimaSouth bSouth cNgumoLikoni rdIndustrial areaEastleighGikombaBusstationJogoo rdOutering rdDonholm Fedha juja rd thika rd kangundo rdutawala westlands parklands KNH nairobi west, langata",machakos|syokimauimara daimasouth bsouth cngumolikoni rdindustrial areaeastleighgikombabusstationjogoo rdoutering rddonholm fedha juja rd thika rd kangundo rdutawala westlands parklands knh nairobi west|langata
ARBAB VENTURES LIMITED,ADR-VYAS9K2,"machakos, syokimau,imara daima,south b,south c,ngumo,likoni rd,industrial area,eastleigh,gikomba,busstation,jogoo rd,outering rd,donholm, fedha",machakos|syokimau|imara daima|south b|south c|ngumo|likoni rd|industrial area|eastleigh|gikomba|busstation|jogoo rd|outering rd|donholm|fedha
ARBAB VENTURES LIMITED,ADR-Q5LCMKD,"machakos, syokimau,imara daima,south b,south c,ngumo,likoni rd,industrial area,eastleigh,gikomba,busstation,jogoo rd,donholm, fedha",machakos|syokimau|imara daima|south b|south c|ngumo|likoni rd|industrial area|eastleigh|gikomba|busstation|jogoo rd|donholm|fedha
BABA DOGO 25 TRAVELLERS SACCO,NTR-00201910081316170,"odeon, muranga rd terminus,thika rd,alsops,baba dogo,outering rd,caltex, donholm",odeon|muranga rd terminus|thika rd|alsops|baba dogo|outering rd|caltex|donholm
BABA DOGO 25 TRAVELLERS SACCO,ADR-BQ9S3MQ,"Odeon, Muranga rd terminus(via forest rd)thika rdalsopsbaba dogo outering rd caltex juja rd kariokor, donholm",odeon|muranga rd terminus via forest rd thika rdalsopsbaba dogo outering rd caltex juja rd kariokor|donholm
BABA DOGO 25 TRAVELLERS SACCO,ADR-REOSLYL,"Odeon, Muranga rd terminus(via forest rd) thika rdalsops roysambu lucky summer baba dogo outering rd caltex kangundo rd ruai junction utawala city cabanas donholm juja rd, kariokor",odeon|muranga rd terminus via forest rd thika rdalsops roysambu lucky summer baba dogo outering rd caltex kangundo rd ruai junction utawala city cabanas donholm juja rd|kariokor
BABA DOGO 25 TRAVELLERS SACCO,ADR-MDMSAEM,"odeon, thika road, babadogo",odeon|thika road|babadogo
BABA DOGO 25 TRAVELLERS SACCO,ADR-YM3SEJ6,"odeon, babadogo, thika road",odeon|babadogo|thika road
BAKAKI 101 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,NTR-00201911291135300,"Kiambu, Bypass Ruaka Banana Ndenderu Wangige Kikuyu Rusingiti Kamangu Thigio Mutarakwa Limuru, Tigoni",kiambu|bypass ruaka banana ndenderu wangige kikuyu rusingiti kamangu thigio mutarakwa limuru|tigoni
BAKAKI 101 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-2DVSRWK,"Kiambu, BananaRuakaNdenderuWangigeKikuyuRusingitiKamanguThigioMutarakwaLimuru, Tigoni",kiambu|bananaruakandenderuwangigekikuyurusingitikamanguthigiomutarakwalimuru|tigoni
BAKAKI 101 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-K9BF6JM,"kiambu, banana, limuru",kiambu|banana|limuru
BANANA HILL MATATU SACCO LTD,NTR-00202107191137140,"Banana, Kiambu Nairobi thika rd ruiru thika, Soko mjinga via limuru",banana|kiambu nairobi thika rd ruiru thika|soko mjinga via limuru
BANANA HILL MATATU SACCO LTD,NTR-00202211011757100,"Thika, Ruiru Kiambu, Olkalou via Banana",thika|ruiru kiambu|olkalou via banana
BANANA HILL MATATU SACCO LTD,ADR-7WRS96P,"banana, kiambu, nairobi, thika road, ruiru, thika",banana|kiambu|nairobi|thika road|ruiru|thika
BANANA HILL MATATU SACCO LTD,ADR-BQ9SQ6V,"banana, thika,commercial, kiambu",banana|thika|commercial|kiambu
BANANA HILL MATATU SACCO LTD,ADR-REOSZKQ,"banana, commercial, kiambu, thika",banana|commercial|kiambu|thika
BENJO( K) LTD,NTR-00833,"Embu, Kitui, Mwingi and Back",embu|kitui|mwingi and back
