route,corridor,from_terminus,to_terminus,sacco,permit_no,coverage,hits_of_total,via_raw,confidence,VERDICT
102,,Railways,Kikuyu,PAKIN ALICIA SACCO SOCIETY LTD,ADR-O68I875,1.00,4/4,"railways, kikuyu,ngong road, dagoretti",high,
102,,Railways,Kikuyu,DAKIKA MATATU OWNERS SACCO,NTR-00126,1.00,3/3,"railways, dagoreti, kikuyu",high,
103,,Dagoretti Corner Stage,Wangige Stage,BENJO( K) LTD,NTR-00741,1.00,3/3,"Bus Station, Jogoo rd Muthurwa Gikomba Kariokor Juja Rd OuteringRd Allsops Kariobangi dandora Moslem machakos mlolongo mombasa rd Cabanas EasternBypass Utawala Ruiru Roundabout kangundo rd ruai joska malaa tala Thika Makongeni kiskioni donyosabuk kilimambogo, Nyeri",high,
103,,Dagoretti Corner Stage,Wangige Stage,DIGITAL LUXURY TRAVELLERS LIMITED,NTR-00202104141031560,1.00,3/3,"Uthiru, muhuri rd dagoretti market kikuyu zambezi nduma buroti mutarakwa kwambira limuru rironi muguga, kinoo",high,
103,,Dagoretti Corner Stage,Wangige Stage,EASTERN BYPASS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,NTR-00741,1.00,3/3,"Bus Station, Jogoo rd Muthurwa Gikomba Kariokor Juja Rd OuteringRd Allsops Kariobangi dandora Moslem machakos mlolongo mombasa rd Cabanas EasternBypass Utawala Ruiru Roundabout kangundo rd ruai joska malaa tala Thika Makongeni kiskioni donyosabuk kilimambogo, Nyeri",high,
103,,Dagoretti Corner Stage,Wangige Stage,EASTERN BYPASS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-REOSRR7,1.00,3/3,"Bus Station, Jogoo rdMuthurwaGikombaKariokorJuja RdOuteringRdAllsopsKariobangi dandoraMoslemmlolongomombasa rdCabanasEasternBypassUtawalaRuiruRoundaboutkangundordruaijoskamalaatalaThikaMakongenikiskionidonyosabukukilimambogo, Nyeri",high,
103,,Dagoretti Corner Stage,Wangige Stage,EASTERN BYPASS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-MDMSQQ3,1.00,3/3,"Bus Station, Jogoo rdMuthurwaGikombaKariokorJuja RdOuteringRdAllsopsKariobangi dandoraMoslemmlolongomombasa rdCabanasEasternBypassUtawalaRuiruRoundaboutkangundordruaijoskamalaatalaThikaMakongenikiskionidonyosabukukilimambogo, Nyeri",high,
105,,Kikuyu Terminus,Odeon Terminus,LATEMA 22 TRAVELLERS SACCO,NTR-001332,1.00,6/6,"odeon, westlands,kangemi,uthiru,kinoo, regen",high,
105,,Kikuyu Terminus,Odeon Terminus,COSY TRAVEL LIMITED,ADR-JY7S3P6,1.00,5/5,"odeon, westlands, kangemi, uthiru, kinoo",high,
105,,Kikuyu Terminus,Odeon Terminus,LATEMA 22 TRAVELLERS SACCO,ADR-7WRS93P,1.00,5/5,"odeon, westlands, kangemi, uthiru, kinoo",high,
