route,corridor,from_terminus,to_terminus,sacco,permit_no,coverage,hits_of_total,via_raw,confidence,VERDICT
16,,Bus Station,Highrise,KENYA BUS SERVICE MANAGEMENT LIMITED,NTR-00202108060801500,0.67,2/3,"Bus Station, city stadium lusaka rd enterprise rd likoni rd jogoo rd kangundo rd via eastern bypass mombasa rd langata rd kungu karumba rd ngong rd karen dagoretti yaya centre limuru rd, Ruaka",medium,
16,,Bus Station,Highrise,METROTRANS EAST AFRICA LIMITED,NTR-00947,0.67,2/3,"nairobi, narok, bomet",medium,
16,,Bus Station,Highrise,RWAKEN INVESTMENTS LIMITED,NTR-00948,0.67,2/3,"nairobi, within, nairobi",medium,
16,,Bus Station,Highrise,ST. MARYS TRANSPORT SACCO SOCIETY,NTR-00202108060801500,0.67,2/3,"Bus Station, city stadium lusaka rd enterprise rd likoni rd jogoo rd kangundo rd via eastern bypass mombasa rd langata rd kungu karumba rd ngong rd karen dagoretti yaya centre limuru rd, Ruaka",medium,
20,,Mama Lucy Terminal,Mwiki Terminal,GMK SACCO LIMITED,NTR-00202202241345360,1.00,3/3,"Ngara, Outering Rd Kayole Eastern Bypass Kangundo Rd Ruai Northern Bypass Mwihoko via Thika Muranga Karatina Kiriaini NyeriEmbu, Voi",high,
20,,Mama Lucy Terminal,Mwiki Terminal,FIVE FRIENDS INVESTMENT COMPANY LIMITED,ADR-8LMS562,0.67,2/3,"Ngara, Huruma Dandora Molem road Kangundo roadMalaauUtawala Mlolongo Outering rd Thika rd Gikomba Jogoo rd Savannah, Kayole",medium,
20,,Mama Lucy Terminal,Mwiki Terminal,FIVE FRIENDS INVESTMENT COMPANY LIMITED,ADR-ZZJSVWM,0.67,2/3,"Ngara, Huruma via Ronald Ngala Dandora Kariobangi Alsops Thika rd Mowlem rdJogoo rd Gikomba Kagundo rd Malaa Savannah Kayole Utawala Outering rd cabanas, Mlolongo",medium,
20,,Mama Lucy Terminal,Mwiki Terminal,FIVE FRIENDS INVESTMENT COMPANY LIMITED,ADR-2DVSDOA,0.67,2/3,"Ngara, Huruma via Ronald Ngala Dandora Kariobangi AlsopsThika rd Mowlem rd Jogoo rd Gikomba Soweto Spine Rd Manyanja Rd Kagundo rd Malaa Savannah Kayole Utawala Outering rd cabanas, Mlolongo",medium,
20,,Mama Lucy Terminal,Mwiki Terminal,GMK SACCO LIMITED,ADR-LZRSW7B,0.67,2/3,"ngara, ruai outering rd northern bypass mwihoko via thika muranga karatina kiriaini nyeri embu, voi",medium,
24,,Karen/Shell,Kencom,2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,NTR-00494,0.67,2/3,"nairobi, limuru, nakuru",medium,
24,,Karen/Shell,Kencom,CHANIA TRAVELLERS SACCO,NTR-00183,0.67,2/3,"nairobi, thika nyeri nyahururu, nakuru",medium,
24,,Karen/Shell,Kencom,CHANIA TRAVELLERS SACCO,ADR-ZZJSZDW,0.67,2/3,"nairobi, nakuru, nyeri",medium,
24,,Karen/Shell,Kencom,eastern bypass traverlers investment co. limited,NTR-00201911140919120,0.67,2/3,"Nairobi, RuaiThikaKamwangiFlyover, Nakuru",medium,
24,,Karen/Shell,Kencom,GATANGA SHUTTLE LIMITED,NTR-00183,0.67,2/3,"nairobi, thika nyeri nyahururu, nakuru",medium,
26,,Makadara,Kariobangi,ARBAB VENTURES LIMITED,ADR-JY7SLOJ,1.00,3/3,"South c, South bLikoni rdindustrial areaeastleighjogoo rdoutering rddonholmfedha, machakos",high,
26,,Makadara,Kariobangi,ALDANA TRAVELLERS SACCO,NTR-00202003241145200,0.67,2/3,"Ronald ngala, Juja rdDandoraKariobangiAlsops Thika rd, Thika",medium,
26,,Makadara,Kariobangi,ALDANA TRAVELLERS SACCO,NTR-00418,0.67,2/3,"Ronald Ngala, Ngara Juja Rd Outering Rd Kangundo Rd Dandora Kariobangi Asops Thika Rd Thika, Nyeri",medium,
26,,Makadara,Kariobangi,ARBAB VENTURES LIMITED,NTR-00201905131607200,0.67,2/3,"South c, iindustrial arealikoni rdjogoo rdeastleighoutering rd mombasa rd, machakos",medium,
26,,Makadara,Kariobangi,BAKAKI 101 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,NTR-00201911291135300,0.67,2/3,"Kiambu, Bypass Ruaka Banana Ndenderu Wangige Kikuyu Rusingiti Kamangu Thigio Mutarakwa Limuru, Tigoni",medium,
28,,Gikomba Market Terminals,Kariobangi Terminal,KARIOBANGI MATATU OWNERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-A5ACLOL,1.00,3/3,"gikomba, juja road, kariobangi",high,
28,,Gikomba Market Terminals,Kariobangi Terminal,KARIOBANGI MATATU OWNERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-POKSME5,1.00,3/3,"gikomba, kariobangi, juja road",high,
28,,Gikomba Market Terminals,Kariobangi Terminal,NEEMA TRAVELLERS AGENCY LIMITED,ADR-A5ACLOL,1.00,3/3,"gikomba, juja road, kariobangi",high,
28,,Gikomba Market Terminals,Kariobangi Terminal,NEEMA TRAVELLERS AGENCY LIMITED,ADR-POKSME5,1.00,3/3,"gikomba, kariobangi, juja road",high,
28,,Gikomba Market Terminals,Kariobangi Terminal,KARIOBANGI MATATU OWNERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-JY7SQ6E,0.75,3/4,"kariobagi, juja road, eastleigh, gikomba",medium,
30,,Odeon Terminus,Ndumbuini Terminus,KARIOBANGI MATATU OWNERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,NTR-00202101251614210,1.00,3/3,"Kariobangi, Juja rd Gikomba Kariokor Ronald ngala Commercial Thika rd Alsops Outering rd, Kariobangi south",high,
30,,Odeon Terminus,Ndumbuini Terminus,2B TRAVELLERS SACCO LTD,ADR-YM3SEOK,0.67,2/3,"Railways, Karen via bomas kawangwarekabiria dagoretti Kikuyu Muslim gikambura waiyaki way, Uthiru",medium,
30,,Odeon Terminus,Ndumbuini Terminus,BABA DOGO 25 TRAVELLERS SACCO,ADR-BQ9S3MQ,0.67,2/3,"Odeon, Muranga rd terminus(via forest rd)thika rdalsopsbaba dogo outering rd caltex juja rd kariokor, donholm",medium,
30,,Odeon Terminus,Ndumbuini Terminus,BABA DOGO 25 TRAVELLERS SACCO,ADR-REOSLYL,0.67,2/3,"Odeon, Muranga rd terminus(via forest rd) thika rdalsops roysambu lucky summer baba dogo outering rd caltex kangundo rd ruai junction utawala city cabanas donholm juja rd, kariokor",medium,
30,,Odeon Terminus,Ndumbuini Terminus,BENJO( K) LTD,NTR-00741,0.67,2/3,"Bus Station, Jogoo rd Muthurwa Gikomba Kariokor Juja Rd OuteringRd Allsops Kariobangi dandora Moslem machakos mlolongo mombasa rd Cabanas EasternBypass Utawala Ruiru Roundabout kangundo rd ruai joska malaa tala Thika Makongeni kiskioni donyosabuk kilimambogo, Nyeri",medium,
36,,City Stadium,Dandora Terminal,DABUMATO COMMUTER SERVICE SAVINGS & CREDIT CO-OPERATIVE SOCIETY LTD,ADR-MDMSJLB,1.00,4/4,"city stadium, jogoo road,buru buru, dandora",high,
36,,City Stadium,Dandora Terminal,DABUMATO COMMUTER SERVICE SAVINGS & CREDIT CO-OPERATIVE SOCIETY LTD,ADR-YM3SBMA,1.00,4/4,"city stadium, dandora,jogoo road, buru buru",high,
36,,City Stadium,Dandora Terminal,DANDORA USAFIRI TRAVELLERS SACCO,ADR-Q5LC66E,1.00,4/4,"city stadium, jogoo road,buru buru, dandora",high,
36,,City Stadium,Dandora Terminal,EASTLANDS EAGLES LIMITED,ADR-DB3T3R6,1.00,4/4,"city stadium, jogoo road,buru buru, dandora",high,
36,,City Stadium,Dandora Terminal,EASTLANDS EAGLES LIMITED,ADR-3ZQSADR,1.00,4/4,"city stadium, dandora,jogoo road, buru buru",high,
3N,,Ngara,Gikomba,ALDANA TRAVELLERS SACCO,NTR-00418,0.67,2/3,"Ronald Ngala, Ngara Juja Rd Outering Rd Kangundo Rd Dandora Kariobangi Asops Thika Rd Thika, Nyeri",medium,
3N,,Ngara,Gikomba,ARBAB VENTURES LIMITED,ADR-POKSRLV,0.67,2/3,"Machakos, SyokimauImara daimaSouth bSouth cNgumoLikoni rdIndustrial areaEastleighGikombaBusstationJogoo rdOutering rdDonholm Fedha juja rd thika rd kangundo rdutawala westlands parklands KNH nairobi west, langata",medium,
3N,,Ngara,Gikomba,BABA DOGO 25 TRAVELLERS SACCO,ADR-REOSLYL,0.67,2/3,"Odeon, Muranga rd terminus(via forest rd) thika rdalsops roysambu lucky summer baba dogo outering rd caltex kangundo rd ruai junction utawala city cabanas donholm juja rd, kariokor",medium,
3N,,Ngara,Gikomba,DANDORA USAFIRI TRAVELLERS SACCO,NTR-00356,0.67,2/3,"Dandora, juja rd thika rdring rd komarock rd baraka slip rd kangundo rd outering rd jogoo rd heshima rd ambira gikomba, ronald ngala",medium,
3N,,Ngara,Gikomba,EASTERN KUBAMBA LIMITED,ADR-JY7SEZQ,0.67,2/3,"Gikomba, Nyayo stadium Langata rd Ongata Rongai Kiserian, Isinya",medium,
3U,,Dagoretti Corner Stage,Uthiru Pentecostal,2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,NTR-00201901101111320,0.67,2/3,"Dagoretti Corner, UthiruWangigeKahawa west KU Hospital Ruiru Limuru, Nakuru",medium,
3U,,Dagoretti Corner Stage,Uthiru Pentecostal,SUPER METRO LIMITED,ADR-DB3T5RP,0.67,2/3,"Ruiru, Ruaka Wangige Kikuyu Waiyaki way Westlands Moi Avenue Tom Mboya Thika rd Kasarani Juja Thika Thika makongeni Oldonyo Sabuk Kilimambogo Tala Machakos Mlolongo Mombasa rd Bomas Hardy Gataka Ongata Rongai Kiserian Ngong Karen Dagoretti corner, KNH",medium,
41,,Gikomba,Dandora Terminal,DANDORA USAFIRI TRAVELLERS SACCO,NTR-00356,0.67,2/3,"Dandora, juja rd thika rdring rd komarock rd baraka slip rd kangundo rd outering rd jogoo rd heshima rd ambira gikomba, ronald ngala",medium,
41,,Gikomba,Dandora Terminal,DANDORA USAFIRI TRAVELLERS SACCO,ADR-A5AC77Q,0.67,2/3,"dandora, juja road, gikomba",medium,
41,,Gikomba,Dandora Terminal,DANDORA USAFIRI TRAVELLERS SACCO,ADR-DB3T33B,0.67,2/3,"dandora, gikomba, juja road",medium,
41,,Gikomba,Dandora Terminal,ECOSA TRAVELLERS SACCO,ADR-JY7SZPV,0.67,2/3,"dandora, gikomba, juja road",medium,
41,,Gikomba,Dandora Terminal,ECOSA TRAVELLERS SACCO,ADR-POKSYJ3,0.67,2/3,"dandora, juja road, gikomba",medium,
42,,Terminal,Dandora Terminal,ALDANA TRAVELLERS SACCO,NTR-00360,0.67,2/3,"dandora, kariobangi, alsolps",medium,
42,,Terminal,Dandora Terminal,ALDANA TRAVELLERS SACCO,ADR-7WRS9DE,0.67,2/3,"dandora, alsolps, kariobangi",medium,
42,,Terminal,Dandora Terminal,DANDORA USAFIRI TRAVELLERS SACCO,NTR-00360,0.67,2/3,"dandora, kariobangi, alsolps",medium,
42,,Terminal,Dandora Terminal,ECOSA TRAVELLERS SACCO,NTR-00360,0.67,2/3,"dandora, kariobangi, alsolps",medium,
42,,Terminal,Dandora Terminal,ECOSA TRAVELLERS SACCO,NTR-00114,0.67,2/3,"ronald ngala, kariobangi, dandora",medium,
4W,,Railways,Chemist/Kwa Maji/Kaberia,JUPITERLINE INVESTMENTS CAPITAL LIMITED,NTR-00477,1.00,3/3,"nairobi, thika road, ruiru",high,
4W,,Railways,Chemist/Kwa Maji/Kaberia,KIBERA BURETI SACCO,ADR-MDMSKW8,1.00,3/3,"railways, kibera, ngong road",high,
4W,,Railways,Chemist/Kwa Maji/Kaberia,KIBERA BURETI SACCO,ADR-ZZJS9OP,1.00,3/3,"railways, ngong road, kibera",high,
